timesteps	evaders	pursuers
2	[[12, 18], [23, 15], [14, 13], [26, 6], [8, 6], [5, 9], [18, 31], [28, 34], [18, 8], [6, 22], [17, 20], [36, 25], [20, 1], [28, 7], [27, 9], [19, 21], [33, 24], [7, 21], [36, 14], [28, 17], [0, 32], [29, 5], [31, 28], [16, 4], [12, 16], [12, 39], [29, 39], [16, 33], [27, 13], [22, 32], [9, 19], [13, 35], [29, 18], [23, 14], [15, 35], [6, 24], [25, 29], [0, 22], [38, 7], [12, 13]]	[[28, 14], [17, 13], [18, 24], [5, 39], [11, 17], [24, 1], [19, 27], [6, 25], [2, 28], [5, 18], [36, 29], [1, 5], [19, 17], [17, 22], [34, 30], [31, 39], [6, 4], [39, 5], [0, 28], [38, 29], [30, 31], [2, 3], [6, 2], [17, 24], [14, 2], [10, 9], [16, 31], [9, 7], [2, 24], [21, 7], [18, 38], [13, 10], [30, 25], [37, 34], [25, 16], [19, 15], [5, 7], [7, 36], [10, 24], [1, 22], [8, 1], [28, 13], [35, 27], [12, 14], [23, 35], [3, 8], [24, 28], [19, 19], [17, 33], [18, 7], [34, 22], [32, 28], [16, 18], [16, 20], [34, 11], [21, 35], [6, 10], [8, 35], [19, 2], [17, 36], [4, 23], [39, 26], [23, 28], [23, 17], [0, 31], [26, 3], [36, 12], [32, 4], [21, 26], [1, 17], [9, 34], [22, 39], [38, 24], [33, 12], [13, 37], [10, 29], [3, 11], [27, 37], [8, 28], [22, 30], [13, 16], [2, 34], [14, 33], [37, 18], [9, 15], [36, 8], [32, 6], [24, 37], [21, 20], [35, 10], [33, 15], [9, 36], [2, 25], [24, 5], [20, 31], [5, 1], [36, 31], [4, 13], [12, 33], [11, 22], [29, 3], [38, 30], [21, 14], [13, 21], [11, 26], [16, 7], [29, 6], [22, 23], [8, 3], [15, 29], [21, 21], [15, 0], [26, 30], [39, 14], [27, 33], [29, 1], [10, 37], [3, 1], [5, 20], [31, 11], [20, 15], [26, 28], [0, 14], [23, 13], [19, 11], [33, 35], [12, 23], [6, 23], [35, 28], [4, 0], [3, 21], [12, 1], [34, 7], [4, 5], [16, 12], [20, 9], [29, 7], [6, 28], [22, 4], [20, 0], [15, 11], [6, 37], [9, 21], [32, 24], [3, 36], [17, 18], [15, 13], [8, 38], [37, 3], [16, 28], [39, 2], [19, 23], [4, 3], [31, 13], [31, 19], [13, 39], [11, 35], [30, 5], [13, 31], [2, 6]]
3	[[13, 18], [22, 15], [14, 12], [26, 5], [9, 6], [5, 10], [18, 30], [28, 33], [19, 8], [6, 21], [18, 20], [36, 26], [19, 1], [28, 6], [26, 9], [19, 22], [33, 23], [7, 22], [37, 14], [28, 16], [0, 33], [29, 4], [31, 27], [16, 3], [11, 16], [12, 38], [30, 39], [16, 32], [26, 13], [23, 32], [10, 19], [12, 35], [28, 18], [23, 15], [15, 36], [5, 24], [25, 28], [0, 21], [38, 6], [12, 12]]	[[28, 15], [17, 13], [18, 25], [4, 39], [11, 17], [24, 2], [19, 28], [6, 25], [2, 27], [6, 18], [36, 29], [1, 5], [19, 17], [17, 21], [34, 29], [31, 39], [7, 4], [39, 6], [0, 29], [38, 28], [30, 30], [1, 3], [7, 2], [16, 24], [14, 3], [10, 10], [16, 31], [9, 7], [3, 24], [20, 7], [17, 38], [12, 10], [30, 26], [37, 35], [25, 15], [18, 15], [6, 7], [7, 36], [9, 24], [0, 22], [9, 1], [27, 13], [35, 26], [12, 15], [23, 34], [4, 8], [24, 28], [19, 20], [17, 32], [18, 8], [34, 23], [32, 27], [15, 18], [17, 20], [34, 11], [21, 34], [6, 10], [8, 35], [19, 2], [16, 36], [5, 23], [39, 25], [23, 29], [23, 16], [0, 32], [26, 4], [37, 12], [31, 4], [22, 26], [2, 17], [10, 34], [21, 39], [37, 24], [33, 13], [13, 37], [10, 28], [4, 11], [28, 37], [8, 27], [23, 30], [12, 16], [1, 34], [15, 33], [37, 17], [10, 15], [37, 8], [31, 6], [24, 36], [20, 20], [36, 10], [34, 15], [9, 36], [3, 25], [25, 5], [19, 31], [5, 1], [36, 31], [5, 13], [12, 34], [11, 21], [29, 3], [37, 30], [22, 14], [12, 21], [11, 25], [16, 8], [29, 6], [21, 23], [9, 3], [15, 30], [20, 21], [16, 0], [26, 31], [38, 14], [27, 33], [28, 1], [10, 38], [2, 1], [6, 20], [30, 11], [21, 15], [26, 28], [1, 14], [22, 13], [19, 10], [33, 36], [12, 23], [6, 22], [34, 28], [5, 0], [2, 21], [13, 1], [34, 6], [4, 6], [16, 12], [20, 9], [28, 7], [5, 28], [21, 4], [19, 0], [14, 11], [6, 38], [9, 20], [33, 24], [3, 35], [17, 19], [14, 13], [9, 38], [37, 4], [17, 28], [39, 3], [19, 23], [5, 3], [30, 13], [30, 19], [13, 38], [11, 35], [30, 4], [13, 32], [2, 7]]
4	[[14, 18], [22, 16], [15, 12], [26, 6], [8, 6], [5, 11], [19, 30], [28, 34], [19, 7], [7, 21], [18, 19], [37, 26], [18, 1], [27, 6], [26, 10], [20, 22], [33, 22], [8, 22], [37, 15], [28, 17], [0, 34], [29, 5], [30, 27], [16, 2], [10, 16], [12, 37], [30, 38], [16, 33], [26, 12], [22, 32], [11, 19], [12, 36], [28, 19], [24, 15], [14, 36], [5, 25], [25, 27], [0, 20], [38, 5], [11, 12]]	[[28, 16], [17, 13], [18, 24], [4, 38], [11, 17], [24, 3], [19, 29], [6, 25], [3, 27], [7, 18], [36, 28], [0, 5], [19, 16], [16, 21], [33, 29], [30, 39], [8, 4], [39, 6], [0, 30], [38, 27], [29, 30], [0, 3], [8, 2], [17, 24], [15, 3], [10, 9], [16, 31], [9, 6], [4, 24], [20, 7], [16, 38], [13, 10], [30, 26], [37, 36], [25, 15], [18, 16], [7, 7], [7, 37], [8, 24], [0, 21], [9, 1], [27, 12], [35, 25], [12, 14], [24, 34], [5, 8], [24, 27], [19, 19], [17, 33], [18, 7], [34, 22], [31, 27], [15, 18], [17, 20], [34, 12], [21, 33], [6, 11], [8, 35], [19, 1], [15, 36], [5, 24], [38, 25], [22, 29], [23, 16], [0, 33], [26, 5], [38, 12], [31, 3], [23, 26], [2, 18], [10, 34], [22, 39], [37, 25], [34, 13], [13, 37], [9, 28], [4, 11], [28, 38], [8, 26], [22, 30], [12, 16], [1, 34], [15, 33], [37, 16], [10, 15], [38, 8], [31, 6], [24, 35], [21, 20], [36, 9], [34, 16], [10, 36], [4, 25], [25, 6], [19, 31], [6, 1], [36, 31], [6, 13], [12, 35], [11, 20], [29, 4], [38, 30], [22, 15], [12, 20], [10, 25], [16, 9], [29, 6], [21, 22], [9, 4], [15, 30], [20, 21], [16, 1], [26, 32], [38, 15], [27, 34], [28, 2], [10, 37], [1, 1], [7, 20], [29, 11], [21, 16], [26, 27], [2, 14], [23, 13], [19, 10], [32, 36], [11, 23], [6, 21], [35, 28], [6, 0], [1, 21], [14, 1], [34, 5], [5, 6], [16, 12], [20, 9], [28, 6], [5, 27], [21, 5], [18, 0], [15, 11], [6, 39], [9, 21], [33, 24], [2, 35], [17, 19], [14, 12], [9, 39], [37, 4], [17, 29], [39, 4], [19, 22], [6, 3], [29, 13], [29, 19], [12, 38], [11, 36], [30, 5], [13, 33], [2, 8]]
5	[[14, 17], [22, 17], [15, 13], [26, 7], [8, 7], [5, 10], [20, 30], [28, 35], [19, 8], [7, 22], [18, 18], [36, 26], [17, 1], [27, 5], [26, 11], [20, 23], [33, 23], [9, 22], [36, 15], [29, 17], [0, 35], [28, 5], [30, 28], [17, 2], [9, 16], [11, 37], [29, 38], [16, 32], [26, 13], [22, 33], [10, 19], [13, 36], [28, 18], [24, 14], [14, 35], [5, 26], [25, 26], [0, 19], [38, 6], [10, 12]]	[[28, 17], [17, 13], [19, 24], [3, 38], [10, 17], [25, 3], [20, 29], [6, 26], [3, 27], [8, 18], [36, 27], [0, 6], [19, 17], [15, 21], [32, 29], [30, 38], [8, 5], [39, 6], [0, 31], [37, 27], [29, 29], [0, 2], [8, 2], [17, 25], [16, 3], [9, 9], [16, 31], [9, 7], [3, 24], [20, 8], [15, 38], [12, 10], [30, 27], [37, 37], [24, 15], [18, 17], [7, 7], [8, 37], [8, 24], [0, 20], [10, 1], [26, 12], [35, 25], [11, 14], [23, 34], [6, 8], [24, 27], [19, 18], [17, 32], [19, 7], [34, 21], [31, 28], [14, 18], [18, 20], [35, 12], [21, 33], [6, 10], [9, 35], [18, 1], [14, 36], [5, 24], [38, 24], [21, 29], [23, 17], [0, 34], [26, 5], [38, 13], [30, 3], [24, 26], [1, 18], [11, 34], [21, 39], [37, 26], [35, 13], [13, 37], [8, 28], [4, 10], [28, 38], [7, 26], [21, 30], [13, 16], [1, 35], [15, 32], [36, 16], [9, 15], [38, 7], [31, 7], [23, 35], [21, 19], [36, 8], [35, 16], [9, 36], [4, 26], [26, 6], [19, 30], [6, 1], [36, 30], [6, 13], [13, 35], [10, 20], [28, 4], [38, 29], [22, 15], [12, 19], [9, 25], [16, 10], [29, 6], [21, 23], [10, 4], [15, 30], [20, 21], [16, 1], [25, 32], [37, 15], [27, 35], [27, 2], [10, 37], [0, 1], [7, 20], [28, 11], [21, 17], [26, 26], [2, 13], [24, 13], [19, 10], [31, 36], [10, 23], [6, 22], [35, 27], [7, 0], [1, 20], [14, 2], [35, 5], [6, 6], [16, 12], [20, 9], [28, 6], [5, 27], [21, 6], [17, 0], [15, 12], [7, 39], [9, 21], [33, 24], [2, 35], [17, 18], [14, 13], [10, 39], [37, 5], [17, 30], [39, 4], [19, 22], [6, 4], [28, 13], [29, 18], [12, 37], [11, 36], [29, 5], [13, 34], [3, 8]]
6	[[13, 17], [22, 18], [16, 13], [25, 7], [8, 6], [5, 11], [20, 31], [29, 35], [19, 9], [7, 21], [18, 19], [35, 26], [17, 1], [27, 4], [25, 11], [20, 22], [34, 23], [10, 22], [35, 15], [29, 16], [0, 36], [27, 5], [29, 28], [16, 2], [9, 17], [11, 38], [29, 39], [16, 33], [26, 14], [22, 34], [10, 18], [12, 36], [27, 18], [25, 14], [15, 35], [5, 25], [25, 25], [1, 19], [37, 6], [9, 12]]	[[28, 16], [17, 13], [19, 24], [2, 38], [10, 17], [25, 4], [20, 29], [6, 25], [3, 27], [8, 18], [36, 27], [1, 6], [19, 16], [16, 21], [32, 29], [30, 39], [8, 5], [38, 6], [0, 32], [37, 28], [29, 29], [1, 2], [8, 3], [18, 25], [16, 3], [8, 9], [16, 32], [9, 6], [3, 24], [20, 8], [14, 38], [12, 9], [29, 27], [36, 37], [24, 14], [18, 18], [8, 7], [8, 38], [8, 23], [0, 19], [10, 2], [26, 11], [35, 25], [11, 15], [23, 34], [6, 8], [25, 27], [19, 19], [17, 33], [19, 7], [34, 22], [31, 28], [14, 17], [18, 20], [34, 12], [20, 33], [6, 11], [10, 35], [18, 1], [14, 35], [5, 24], [37, 24], [22, 29], [23, 18], [0, 35], [26, 5], [37, 13], [29, 3], [24, 25], [1, 18], [11, 34], [21, 38], [36, 26], [34, 13], [13, 37], [7, 28], [5, 10], [29, 38], [7, 25], [21, 31], [13, 16], [1, 36], [15, 33], [36, 16], [9, 16], [37, 7], [30, 7], [22, 35], [21, 19], [36, 7], [35, 16], [9, 36], [4, 25], [26, 6], [19, 31], [6, 2], [35, 30], [7, 13], [12, 35], [10, 19], [28, 4], [38, 28], [22, 16], [11, 19], [9, 25], [17, 10], [29, 7], [21, 22], [10, 5], [15, 30], [20, 21], [16, 1], [24, 32], [36, 15], [28, 35], [27, 3], [11, 37], [0, 0], [7, 20], [27, 11], [22, 17], [26, 25], [3, 13], [25, 13], [19, 10], [31, 35], [10, 23], [7, 22], [35, 27], [8, 0], [1, 20], [15, 2], [35, 6], [7, 6], [16, 12], [20, 9], [27, 6], [5, 26], [21, 7], [17, 0], [15, 13], [8, 39], [9, 21], [33, 23], [2, 36], [17, 18], [14, 13], [10, 38], [37, 5], [17, 30], [38, 4], [19, 22], [7, 4], [27, 13], [29, 18], [12, 37], [11, 36], [28, 5], [14, 34], [3, 9]]
7	[[12, 17], [21, 18], [16, 14], [25, 8], [8, 6], [5, 12], [20, 30], [30, 35], [19, 8], [6, 21], [17, 19], [34, 26], [17, 2], [26, 4], [24, 11], [20, 23], [34, 24], [10, 21], [35, 14], [29, 15], [0, 37], [27, 4], [30, 28], [16, 2], [8, 17], [12, 38], [28, 39], [16, 34], [27, 14], [22, 33], [11, 18], [13, 36], [26, 18], [26, 14], [16, 35], [5, 25], [25, 26], [2, 19], [36, 6], [9, 11]]	[[28, 15], [17, 14], [20, 24], [1, 38], [9, 17], [25, 4], [20, 29], [6, 25], [3, 28], [8, 18], [36, 27], [1, 5], [19, 17], [16, 20], [32, 29], [29, 39], [8, 5], [37, 6], [0, 33], [37, 29], [29, 28], [2, 2], [9, 3], [18, 26], [16, 3], [8, 10], [16, 33], [9, 6], [3, 23], [20, 8], [13, 38], [12, 10], [30, 27], [35, 37], [25, 14], [18, 18], [8, 7], [7, 38], [8, 23], [1, 19], [11, 2], [25, 11], [35, 24], [12, 15], [23, 33], [6, 9], [25, 27], [19, 19], [17, 34], [19, 7], [34, 23], [31, 28], [13, 17], [17, 20], [35, 12], [20, 32], [6, 12], [10, 35], [18, 2], [15, 35], [5, 24], [36, 24], [22, 30], [23, 18], [0, 36], [26, 5], [36, 13], [29, 3], [24, 25], [2, 18], [11, 34], [20, 38], [35, 26], [34, 14], [13, 37], [8, 28], [5, 11], [28, 38], [7, 24], [21, 30], [12, 16], [1, 37], [15, 34], [37, 16], [8, 16], [37, 7], [30, 6], [22, 35], [21, 19], [36, 7], [35, 15], [9, 37], [4, 25], [25, 6], [19, 30], [7, 2], [34, 30], [6, 13], [13, 35], [10, 18], [28, 4], [38, 29], [21, 16], [11, 19], [9, 24], [17, 9], [28, 7], [21, 23], [11, 5], [15, 31], [20, 22], [16, 1], [23, 32], [36, 14], [29, 35], [27, 3], [11, 38], [1, 0], [6, 20], [28, 11], [21, 17], [26, 26], [4, 13], [26, 13], [19, 10], [31, 35], [11, 23], [7, 22], [34, 27], [9, 0], [2, 20], [15, 2], [35, 6], [7, 6], [16, 13], [20, 9], [27, 6], [5, 26], [21, 7], [17, 1], [15, 14], [9, 39], [9, 21], [33, 24], [2, 35], [17, 18], [14, 14], [10, 38], [36, 5], [18, 30], [38, 4], [19, 22], [6, 4], [27, 13], [29, 17], [12, 37], [12, 36], [27, 5], [14, 34], [4, 9]]
8	[[11, 17], [22, 18], [16, 15], [25, 9], [8, 6], [5, 13], [20, 31], [30, 36], [18, 8], [5, 21], [18, 19], [34, 25], [17, 3], [26, 3], [24, 12], [19, 23], [34, 24], [11, 21], [35, 13], [29, 14], [0, 38], [26, 4], [30, 29], [17, 2], [7, 17], [12, 39], [27, 39], [16, 34], [27, 15], [21, 33], [12, 18], [14, 36], [26, 17], [27, 14], [17, 35], [5, 25], [24, 26], [3, 19], [36, 6], [8, 11]]	[[28, 15], [17, 15], [19, 24], [1, 38], [9, 17], [25, 4], [20, 30], [6, 25], [4, 28], [7, 18], [36, 27], [0, 5], [19, 17], [16, 19], [32, 29], [28, 39], [8, 5], [37, 6], [0, 34], [37, 28], [29, 29], [3, 2], [10, 3], [18, 25], [16, 3], [8, 10], [16, 33], [9, 6], [3, 22], [19, 8], [13, 39], [12, 11], [30, 28], [34, 37], [25, 14], [18, 18], [8, 7], [7, 39], [8, 23], [2, 19], [12, 2], [25, 10], [35, 24], [11, 15], [22, 33], [6, 10], [24, 27], [19, 19], [17, 34], [18, 7], [34, 23], [31, 29], [12, 17], [18, 20], [35, 12], [20, 32], [6, 12], [10, 36], [18, 2], [16, 35], [5, 24], [36, 23], [22, 31], [23, 18], [0, 37], [26, 5], [36, 13], [29, 2], [24, 25], [3, 18], [12, 34], [20, 37], [35, 25], [34, 13], [14, 37], [9, 28], [5, 12], [28, 38], [7, 24], [21, 31], [11, 16], [1, 37], [15, 34], [37, 15], [7, 16], [38, 7], [29, 6], [22, 34], [21, 19], [36, 7], [35, 15], [9, 37], [4, 25], [25, 7], [19, 31], [6, 2], [33, 30], [6, 13], [13, 36], [10, 18], [27, 4], [38, 28], [22, 16], [11, 19], [9, 24], [17, 8], [28, 7], [21, 23], [11, 6], [15, 32], [20, 22], [16, 2], [22, 32], [35, 14], [30, 35], [27, 3], [11, 39], [2, 0], [5, 20], [28, 12], [22, 17], [25, 26], [4, 13], [26, 14], [18, 10], [31, 36], [12, 23], [7, 21], [34, 27], [10, 0], [3, 20], [15, 2], [35, 6], [7, 6], [16, 13], [21, 9], [27, 6], [5, 26], [21, 7], [17, 1], [15, 15], [9, 39], [10, 21], [33, 24], [2, 36], [17, 18], [14, 15], [10, 38], [36, 5], [18, 31], [39, 4], [19, 22], [6, 5], [27, 13], [28, 17], [12, 38], [12, 36], [27, 5], [14, 35], [4, 10]]
9	[[11, 18], [21, 18], [16, 16], [26, 9], [8, 6], [5, 14], [20, 31], [30, 37], [18, 9], [5, 22], [17, 19], [33, 25], [17, 4], [26, 2], [23, 12], [20, 23], [34, 25], [11, 22], [35, 13], [29, 13], [0, 39], [26, 3], [30, 30], [17, 3], [6, 17], [12, 39], [27, 38], [16, 34], [26, 15], [21, 34], [13, 18], [15, 36], [25, 17], [27, 15], [17, 36], [5, 25], [23, 26], [4, 19], [36, 6], [9, 11]]	[[28, 15], [17, 16], [20, 24], [1, 39], [9, 17], [25, 3], [20, 30], [6, 25], [4, 29], [7, 18], [36, 26], [1, 5], [19, 17], [16, 19], [32, 28], [27, 39], [8, 5], [37, 6], [0, 35], [37, 29], [29, 30], [4, 2], [10, 4], [18, 25], [16, 3], [8, 11], [16, 33], [9, 6], [4, 22], [19, 9], [13, 39], [11, 11], [30, 29], [33, 37], [25, 15], [18, 19], [8, 7], [7, 39], [8, 22], [3, 19], [12, 3], [26, 10], [35, 24], [12, 15], [21, 33], [6, 10], [23, 27], [19, 19], [17, 34], [18, 7], [34, 24], [31, 30], [13, 17], [17, 20], [35, 12], [20, 32], [7, 12], [10, 36], [18, 3], [16, 35], [5, 24], [36, 23], [23, 31], [22, 18], [0, 38], [26, 5], [36, 13], [28, 2], [23, 25], [4, 18], [13, 34], [19, 37], [35, 25], [34, 13], [15, 37], [10, 28], [5, 13], [28, 38], [7, 24], [21, 31], [11, 16], [1, 37], [15, 34], [37, 16], [6, 16], [39, 7], [29, 5], [22, 34], [21, 19], [36, 7], [35, 16], [8, 37], [4, 25], [26, 7], [19, 31], [7, 2], [33, 31], [6, 14], [14, 36], [10, 18], [26, 4], [38, 27], [22, 15], [11, 19], [10, 24], [17, 8], [28, 7], [21, 23], [11, 7], [15, 32], [20, 22], [16, 2], [23, 32], [35, 14], [30, 36], [27, 3], [11, 39], [3, 0], [5, 19], [29, 12], [21, 17], [24, 26], [4, 14], [26, 14], [18, 10], [31, 37], [12, 22], [6, 21], [34, 26], [11, 0], [4, 20], [15, 1], [35, 6], [7, 6], [16, 14], [21, 10], [27, 6], [5, 26], [20, 7], [17, 2], [16, 15], [9, 39], [11, 21], [33, 24], [2, 36], [17, 18], [14, 16], [10, 38], [36, 5], [18, 32], [39, 5], [19, 22], [6, 6], [28, 13], [27, 17], [12, 38], [12, 36], [28, 5], [15, 35], [4, 11]]
10	[[11, 17], [20, 18], [15, 16], [27, 9], [8, 6], [5, 15], [20, 31], [30, 38], [17, 9], [6, 22], [17, 19], [33, 26], [17, 5], [26, 1], [22, 12], [19, 23], [33, 25], [11, 23], [35, 13], [29, 14], [0, 39], [26, 2], [30, 31], [17, 4], [6, 18], [12, 39], [27, 37], [16, 34], [26, 16], [20, 34], [12, 18], [16, 36], [25, 16], [26, 15], [18, 36], [5, 25], [22, 26], [4, 19], [36, 6], [9, 12]]	[[28, 15], [17, 16], [19, 24], [1, 39], [9, 17], [25, 2], [20, 30], [6, 25], [5, 29], [7, 18], [36, 26], [0, 5], [20, 17], [16, 19], [32, 27], [27, 38], [8, 5], [37, 6], [0, 34], [36, 29], [29, 31], [5, 2], [10, 5], [19, 25], [16, 4], [9, 11], [16, 33], [9, 6], [5, 22], [18, 9], [13, 39], [11, 12], [30, 30], [33, 38], [25, 15], [18, 19], [8, 7], [7, 39], [7, 22], [3, 19], [12, 4], [27, 10], [35, 24], [13, 15], [20, 33], [7, 10], [22, 27], [19, 18], [17, 34], [18, 7], [34, 25], [31, 31], [12, 17], [17, 20], [35, 12], [20, 32], [8, 12], [9, 36], [18, 4], [16, 35], [5, 24], [36, 23], [24, 31], [22, 18], [0, 38], [25, 5], [36, 13], [27, 2], [22, 25], [4, 18], [13, 35], [18, 37], [35, 25], [34, 13], [16, 37], [10, 27], [5, 14], [28, 37], [7, 23], [21, 31], [11, 16], [1, 36], [15, 34], [38, 16], [5, 16], [39, 8], [29, 4], [21, 34], [20, 19], [36, 7], [35, 17], [7, 37], [4, 25], [25, 7], [19, 31], [7, 3], [32, 31], [6, 15], [14, 36], [10, 18], [26, 4], [37, 27], [22, 14], [12, 19], [11, 24], [17, 8], [28, 7], [21, 23], [11, 8], [15, 32], [20, 22], [16, 2], [22, 32], [35, 14], [30, 37], [26, 3], [11, 39], [4, 0], [5, 19], [29, 13], [21, 18], [24, 26], [4, 15], [26, 14], [17, 10], [31, 38], [12, 23], [6, 21], [34, 26], [11, 0], [4, 20], [15, 1], [35, 6], [7, 6], [15, 14], [21, 11], [27, 6], [5, 26], [20, 8], [17, 3], [15, 15], [9, 39], [11, 21], [33, 24], [2, 35], [17, 18], [14, 16], [11, 38], [36, 5], [18, 33], [39, 4], [19, 22], [6, 7], [28, 14], [26, 17], [12, 38], [12, 36], [28, 4], [15, 36], [4, 12]]
11	[[10, 17], [20, 18], [15, 17], [28, 9], [8, 6], [5, 15], [20, 31], [30, 39], [16, 9], [6, 23], [17, 19], [33, 27], [17, 6], [26, 0], [21, 12], [18, 23], [32, 25], [11, 22], [35, 13], [30, 14], [0, 39], [26, 1], [30, 32], [17, 5], [6, 17], [12, 39], [27, 36], [16, 34], [27, 16], [20, 35], [11, 18], [17, 36], [24, 16], [26, 16], [19, 36], [5, 25], [23, 26], [4, 19], [36, 6], [10, 12]]	[[28, 16], [17, 16], [19, 23], [1, 39], [9, 17], [25, 1], [20, 30], [6, 25], [6, 29], [7, 19], [36, 26], [1, 5], [20, 17], [16, 19], [32, 27], [27, 37], [8, 5], [37, 6], [1, 34], [35, 29], [29, 32], [6, 2], [10, 6], [18, 25], [16, 5], [10, 11], [16, 33], [9, 6], [5, 23], [18, 9], [13, 39], [11, 12], [30, 30], [33, 39], [25, 15], [18, 19], [8, 7], [7, 39], [7, 22], [3, 19], [12, 5], [28, 10], [35, 24], [13, 15], [20, 34], [8, 10], [22, 27], [19, 18], [17, 34], [18, 6], [33, 25], [31, 32], [12, 17], [17, 20], [35, 12], [20, 32], [9, 12], [8, 36], [18, 5], [16, 35], [5, 24], [36, 23], [24, 32], [23, 18], [0, 38], [25, 5], [36, 13], [27, 1], [23, 25], [4, 18], [13, 35], [18, 36], [35, 25], [34, 13], [17, 37], [9, 27], [5, 14], [28, 36], [7, 23], [21, 31], [10, 16], [0, 36], [15, 34], [38, 17], [5, 16], [39, 9], [29, 5], [21, 35], [20, 19], [36, 7], [34, 17], [7, 36], [4, 25], [25, 8], [19, 31], [7, 4], [32, 32], [6, 15], [14, 37], [10, 18], [26, 4], [37, 28], [22, 13], [12, 18], [11, 24], [17, 7], [29, 7], [21, 23], [11, 9], [15, 31], [20, 21], [16, 2], [23, 32], [35, 14], [30, 38], [26, 2], [11, 39], [5, 0], [5, 19], [30, 13], [21, 18], [24, 26], [4, 15], [26, 14], [16, 10], [31, 39], [12, 22], [6, 21], [33, 26], [11, 0], [4, 20], [15, 1], [35, 6], [7, 6], [16, 14], [21, 11], [27, 6], [5, 26], [19, 8], [17, 4], [15, 15], [9, 39], [11, 21], [32, 24], [2, 34], [17, 18], [14, 17], [11, 37], [36, 5], [18, 33], [39, 5], [18, 22], [6, 8], [28, 14], [26, 17], [12, 38], [12, 36], [28, 5], [16, 36], [4, 13]]
12	[[11, 17], [20, 18], [15, 16], [29, 9], [8, 6], [5, 15], [20, 31], [29, 39], [16, 8], [6, 24], [17, 19], [33, 28], [16, 6], [25, 0], [21, 13], [17, 23], [32, 26], [11, 23], [35, 13], [31, 14], [0, 39], [26, 0], [30, 33], [17, 6], [7, 17], [12, 39], [26, 36], [16, 34], [27, 17], [19, 35], [11, 19], [17, 35], [25, 16], [26, 15], [19, 37], [5, 25], [22, 26], [4, 19], [36, 6], [10, 13]]	[[27, 16], [16, 16], [18, 23], [1, 39], [9, 17], [25, 1], [20, 30], [6, 25], [6, 28], [7, 18], [36, 27], [0, 5], [20, 17], [16, 19], [32, 27], [26, 37], [8, 5], [37, 6], [1, 34], [34, 29], [29, 32], [7, 2], [11, 6], [18, 24], [16, 5], [10, 12], [16, 33], [9, 6], [6, 23], [17, 9], [13, 39], [11, 13], [30, 31], [33, 39], [25, 15], [18, 19], [8, 7], [7, 39], [8, 22], [3, 19], [13, 5], [29, 10], [34, 24], [13, 16], [19, 34], [8, 11], [22, 27], [19, 18], [17, 34], [18, 6], [33, 25], [31, 33], [12, 17], [17, 20], [35, 12], [20, 32], [9, 13], [8, 36], [18, 5], [16, 35], [5, 24], [36, 23], [24, 33], [24, 18], [0, 38], [24, 5], [36, 13], [27, 0], [23, 25], [4, 18], [13, 34], [18, 35], [35, 25], [34, 13], [18, 37], [9, 26], [5, 14], [27, 36], [7, 24], [21, 31], [11, 16], [0, 35], [15, 34], [38, 18], [5, 16], [39, 10], [30, 5], [20, 35], [20, 19], [36, 7], [33, 17], [6, 36], [4, 25], [25, 9], [19, 31], [6, 4], [32, 33], [6, 15], [15, 37], [10, 17], [26, 4], [36, 28], [22, 13], [12, 18], [11, 24], [17, 7], [30, 7], [21, 24], [11, 10], [15, 32], [21, 21], [16, 3], [22, 32], [35, 14], [29, 38], [26, 1], [11, 39], [6, 0], [5, 19], [31, 13], [21, 18], [23, 26], [4, 15], [26, 14], [16, 9], [31, 39], [12, 22], [6, 21], [33, 26], [12, 0], [4, 20], [15, 1], [35, 6], [7, 6], [16, 14], [21, 12], [27, 7], [5, 26], [19, 7], [17, 5], [15, 15], [9, 39], [11, 20], [32, 25], [3, 34], [17, 18], [14, 16], [11, 37], [36, 5], [18, 33], [38, 5], [17, 22], [6, 9], [29, 14], [26, 17], [12, 38], [12, 36], [28, 4], [17, 36], [4, 13]]
