timesteps	evaders	pursuers
84	[[15, 7]]	[[19, 8], [17, 6], [14, 8], [16, 10]]
85	[[14, 8]]	[[18, 8], [16, 5], [13, 7], [15, 9]]
86	[[13, 8]]	[[17, 7], [15, 6], [12, 8], [14, 10]]
87	[[12, 9]]	[[16, 8], [14, 6], [11, 8], [13, 10]]
88	[[11, 9]]	[[15, 8], [13, 6], [10, 9], [13, 11]]
89	[[10, 10]]	[[14, 8], [13, 6], [9, 9], [13, 10]]
90	[[10, 10]]	[[13, 8], [13, 6], [8, 10], [12, 11]]
91	[[9, 11]]	[[12, 9], [12, 7], [8, 10], [11, 12]]
92	[[9, 12]]	[[11, 9], [11, 7], [7, 11], [10, 13]]
93	[[8, 13]]	[[10, 10], [11, 8], [7, 12], [9, 14]]
94	[[8, 14]]	[[9, 11], [10, 9], [6, 13], [8, 15]]
95	[[7, 15]]	[[8, 12], [9, 10], [6, 13], [8, 16]]
96	[[8, 16]]	[[9, 13], [8, 11], [5, 14], [7, 17]]
97	[[8, 17]]	[[10, 14], [8, 12], [6, 15], [8, 18]]
98	[[9, 18]]	[[10, 15], [8, 13], [6, 16], [7, 19]]
99	[[9, 19]]	[[11, 16], [8, 14], [7, 17], [8, 20]]
100	[[9, 19]]	[[11, 17], [9, 15], [7, 17], [9, 21]]
101	[[10, 20]]	[[10, 17], [9, 15], [7, 18], [9, 21]]
102	[[11, 21]]	[[11, 18], [9, 16], [8, 19], [9, 22]]
103	[[12, 21]]	[[12, 19], [10, 17], [8, 19], [10, 23]]
104	[[13, 22]]	[[12, 19], [10, 18], [9, 20], [10, 23]]
105	[[14, 22]]	[[13, 20], [11, 19], [10, 21], [10, 23]]
106	[[15, 23]]	[[13, 20], [11, 19], [10, 21], [10, 23]]
107	[[16, 22]]	[[13, 20], [11, 19], [10, 21], [11, 24]]
108	[[17, 22]]	[[14, 21], [12, 20], [10, 22], [12, 25]]
109	[[18, 21]]	[[15, 22], [12, 20], [10, 22], [13, 24]]
110	[[18, 21]]	[[16, 21], [13, 19], [11, 21], [14, 23]]
