timesteps	evaders	pursuers	evader_capture_status
10	[[25, 19], [11, 14], [1, 5], [4, 2], [4, 24], [9, 37], [16, 9], [16, 27], [12, 21], [7, 33], [29, 21], [36, 20], [20, 16], [38, 34], [16, 24], [10, 5], [17, 5], [36, 25], [5, 33], [35, 34], [29, 24], [16, 23], [34, 22], [35, 13], [31, 39], [24, 32], [21, 8], [23, 9], [1, 9], [23, 25]]	[[5, 3], [29, 8], [15, 29], [35, 27], [31, 19], [30, 38], [16, 29], [15, 11]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	[[25, 20], [11, 15], [0, 5], [3, 2], [5, 24], [8, 37], [17, 9], [17, 27], [12, 20], [8, 33], [29, 22], [37, 20], [20, 17], [37, 34], [16, 23], [10, 6], [17, 4], [36, 24], [4, 33], [34, 34], [29, 25], [17, 23], [34, 21], [34, 13], [32, 39], [23, 32], [21, 7], [23, 10], [1, 10], [23, 26]]	[[4, 3], [29, 9], [15, 28], [35, 26], [31, 20], [31, 38], [16, 28], [15, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	[[25, 21], [11, 16], [0, 6], [2, 2], [5, 25], [9, 37], [18, 9], [18, 27], [12, 19], [8, 32], [28, 22], [37, 19], [20, 18], [36, 34], [16, 22], [10, 5], [17, 5], [37, 24], [5, 33], [34, 33], [29, 26], [18, 23], [35, 21], [33, 13], [33, 39], [24, 32], [21, 6], [23, 11], [2, 10], [24, 26]]	[[3, 3], [30, 9], [15, 27], [35, 25], [31, 21], [32, 38], [17, 28], [16, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	[[25, 20], [11, 15], [0, 7], [1, 2], [5, 24], [9, 36], [19, 9], [19, 27], [12, 18], [9, 32], [28, 23], [37, 18], [20, 19], [36, 35], [16, 21], [10, 6], [17, 4], [37, 23], [5, 34], [34, 32], [29, 27], [18, 22], [35, 20], [34, 13], [34, 39], [23, 32], [22, 6], [23, 12], [3, 10], [24, 27]]	[[2, 3], [31, 9], [16, 27], [36, 25], [31, 22], [33, 38], [17, 27], [17, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	[[25, 21], [11, 14], [0, 8], [0, 2], [5, 25], [10, 36], [19, 8], [20, 27], [13, 18], [9, 31], [27, 23], [37, 17], [20, 18], [36, 34], [16, 22], [10, 5], [17, 5], [37, 22], [4, 34], [34, 31], [29, 28], [19, 22], [35, 19], [35, 13], [35, 39], [22, 32], [22, 7], [23, 13], [4, 10], [24, 26]]	[[1, 3], [32, 9], [17, 27], [36, 24], [30, 22], [34, 38], [18, 27], [18, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	[[24, 21], [12, 14], [0, 9], [0, 1], [6, 25], [10, 35], [20, 8], [21, 27], [13, 17], [9, 32], [26, 23], [38, 17], [20, 17], [37, 34], [15, 22], [11, 5], [17, 4], [37, 21], [5, 34], [33, 31], [30, 28], [20, 22], [35, 18], [35, 14], [36, 39], [23, 32], [23, 7], [24, 13], [5, 10], [25, 26]]	[[0, 3], [33, 9], [18, 27], [36, 23], [29, 22], [35, 38], [19, 27], [18, 9]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	[[24, 20], [12, 13], [1, 9], [1, 1], [6, 26], [11, 35], [20, 7], [22, 27], [13, 18], [8, 32], [26, 24], [38, 16], [20, 16], [37, 33], [15, 21], [11, 4], [16, 4], [37, 20], [5, 35], [33, 32], [30, 29], [20, 21], [34, 18], [34, 14], [37, 39], [23, 33], [24, 7], [24, 12], [6, 10], [24, 26]]	[[0, 2], [33, 10], [19, 27], [36, 22], [28, 22], [36, 38], [20, 27], [19, 9]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17	[[23, 20], [12, 14], [2, 9], [2, 1], [7, 26], [11, 34], [20, 6], [23, 27], [13, 17], [7, 32], [26, 25], [38, 15], [19, 16], [37, 32], [16, 21], [11, 5], [16, 5], [37, 19], [5, 34], [33, 31], [30, 28], [20, 22], [33, 18], [35, 14], [38, 39], [24, 33], [25, 7], [25, 12], [7, 10], [24, 25]]	[[1, 2], [33, 11], [20, 27], [36, 21], [27, 22], [37, 38], [21, 27], [20, 9]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	[[22, 20], [12, 13], [3, 9], [3, 1], [7, 27], [12, 34], [20, 5], [24, 27], [13, 18], [8, 32], [27, 25], [37, 15], [20, 16], [36, 32], [16, 22], [11, 4], [15, 5], [37, 18], [5, 35], [34, 31], [29, 28], [20, 21], [32, 18], [35, 15], [39, 39], [24, 32], [26, 7], [26, 12], [8, 10], [24, 24]]	[[2, 2], [34, 11], [21, 27], [36, 20], [27, 23], [38, 38], [22, 27], [20, 8]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	[[22, 19], [12, 14], [4, 9], [4, 1], [6, 27], [12, 33], [20, 4], [25, 27], [13, 19], [7, 32], [27, 26], [38, 15], [20, 15], [36, 33], [15, 22], [11, 5], [14, 5], [37, 17], [5, 34], [33, 31], [29, 29], [21, 21], [33, 18], [34, 15], [39, 38], [24, 33], [26, 8], [25, 12], [8, 11], [24, 23]]	[[3, 2], [34, 12], [22, 27], [36, 19], [27, 24], [38, 39], [23, 27], [20, 7]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	[[22, 18], [12, 15], [5, 9], [5, 1], [7, 27], [13, 33], [20, 5], [26, 27], [12, 19], [8, 32], [28, 26], [38, 14], [20, 16], [35, 33], [16, 22], [11, 4], [15, 5], [38, 17], [5, 35], [33, 32], [29, 30], [20, 21], [32, 18], [33, 15], [39, 37], [24, 34], [25, 8], [25, 13], [9, 11], [24, 22]]	[[4, 2], [34, 13], [22, 26], [36, 18], [27, 25], [38, 38], [24, 27], [20, 6]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	[[23, 18], [13, 15], [4, 9], [6, 1], [6, 27], [13, 32], [20, 4], [26, 28], [12, 20], [8, 31], [29, 26], [38, 13], [19, 16], [34, 33], [16, 23], [11, 5], [14, 5], [39, 17], [6, 35], [33, 31], [30, 30], [20, 20], [31, 18], [32, 15], [39, 36], [25, 34], [26, 8], [26, 13], [9, 12], [24, 21]]	[[5, 2], [34, 14], [22, 25], [36, 17], [27, 26], [38, 37], [25, 27], [20, 5]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	[[24, 18], [13, 14], [5, 9], [7, 1], [7, 27], [14, 32], [20, 3], [26, 29], [13, 20], [7, 31], [30, 26], [38, 12], [19, 15], [35, 33], [16, 24], [10, 5], [14, 4], [39, 18], [6, 34], [33, 30], [30, 31], [20, 21], [31, 19], [31, 15], [39, 35], [25, 33], [26, 7], [26, 14], [10, 12], [24, 20]]	[[6, 2], [34, 15], [22, 24], [37, 17], [28, 26], [38, 36], [26, 27], [20, 4]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
23	[[24, 17], [13, 15], [4, 9], [8, 1], [7, 26], [14, 33], [19, 3], [26, 30], [14, 20], [8, 31], [31, 26], [38, 11], [19, 16], [34, 33], [16, 25], [10, 6], [15, 4], [39, 19], [5, 34], [34, 30], [30, 32], [20, 20], [31, 20], [30, 15], [39, 34], [25, 32], [26, 8], [26, 13], [9, 12], [25, 20]]	[[7, 2], [34, 16], [22, 23], [38, 17], [29, 26], [38, 35], [26, 28], [20, 3]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	[[24, 16], [13, 16], [5, 9], [9, 1], [7, 27], [14, 34], [19, 4], [26, 31], [15, 20], [8, 32], [32, 26], [37, 11], [20, 16], [34, 34], [17, 25], [11, 6], [15, 5], [39, 20], [5, 35], [34, 29], [30, 33], [20, 19], [31, 21], [29, 15], [39, 33], [25, 33], [26, 7], [25, 13], [9, 11], [26, 20]]	[[8, 2], [34, 15], [22, 22], [38, 18], [30, 26], [38, 34], [26, 29], [19, 3]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	[[24, 17], [13, 15], [5, 8], [10, 1], [8, 27], [15, 34], [19, 5], [26, 32], [16, 20], [7, 32], [33, 26], [37, 10], [20, 17], [33, 34], [18, 25], [11, 7], [14, 5], [39, 21], [5, 34], [35, 29], [30, 34], [20, 18], [32, 21], [29, 16], [39, 32], [25, 34], [27, 7], [25, 12], [10, 11], [27, 20]]	[[9, 2], [34, 14], [21, 22], [38, 19], [31, 26], [38, 33], [26, 30], [19, 4]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	[[25, 17], [12, 15], [5, 9], [11, 1], [9, 27], [16, 34], [19, 6], [26, 33], [15, 20], [7, 31], [34, 26], [36, 10], [20, 16], [33, 35], [18, 26], [11, 8], [14, 6], [39, 22], [5, 35], [35, 28], [31, 34], [19, 18], [32, 20], [29, 15], [39, 31], [25, 35], [28, 7], [26, 12], [9, 11], [27, 21]]	[[10, 2], [34, 13], [20, 22], [38, 20], [32, 26], [38, 32], [26, 31], [19, 5]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
27	[[26, 17], [12, 14], [5, 8], [12, 1], [9, 26], [16, 35], [19, 7], [26, 34], [15, 21], [6, 31], [35, 26], [36, 9], [20, 15], [33, 36], [18, 27], [11, 9], [15, 6], [39, 23], [6, 35], [35, 29], [32, 34], [18, 18], [32, 19], [29, 16], [39, 30], [24, 35], [28, 8], [26, 11], [9, 12], [26, 21]]	[[11, 2], [34, 12], [20, 21], [38, 21], [33, 26], [38, 31], [26, 32], [19, 6]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	[[25, 17], [12, 15], [6, 8], [13, 1], [10, 26], [17, 35], [19, 8], [27, 34], [14, 21], [6, 30], [35, 25], [35, 9], [21, 15], [34, 36], [17, 27], [12, 9], [14, 6], [39, 24], [7, 35], [34, 29], [31, 34], [18, 17], [32, 20], [29, 15], [39, 29], [23, 35], [29, 8], [26, 12], [8, 12], [26, 22]]	[[12, 2], [34, 11], [19, 21], [38, 22], [33, 27], [38, 30], [26, 33], [19, 7]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	[[25, 18], [13, 15], [5, 8], [14, 1], [11, 26], [17, 34], [19, 9], [28, 34], [13, 21], [6, 29], [35, 24], [35, 8], [22, 15], [35, 36], [16, 27], [13, 9], [13, 6], [39, 25], [7, 34], [34, 30], [31, 33], [17, 17], [32, 19], [28, 15], [39, 28], [23, 36], [29, 7], [27, 12], [8, 13], [27, 22]]	[[13, 2], [34, 10], [19, 20], [38, 23], [34, 27], [38, 29], [26, 34], [19, 8]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	[[24, 18], [13, 16], [5, 7], [15, 1], [11, 27], [17, 33], [19, 10], [29, 34], [14, 21], [7, 29], [34, 24], [35, 7], [22, 14], [34, 36], [17, 27], [13, 10], [13, 7], [39, 24], [6, 34], [34, 31], [32, 33], [17, 16], [32, 18], [28, 16], [39, 27], [22, 36], [28, 7], [26, 12], [7, 13], [26, 22]]	[[14, 2], [34, 9], [19, 19], [37, 23], [34, 28], [38, 28], [27, 34], [19, 9]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31	[[25, 18], [12, 16], [5, 8], [16, 1], [11, 28], [17, 34], [19, 11], [29, 35], [13, 21], [8, 29], [33, 24], [35, 6], [23, 14], [35, 36], [18, 27], [14, 10], [13, 8], [39, 23], [7, 34], [34, 32], [33, 33], [17, 15], [32, 19], [29, 16], [39, 26], [21, 36], [28, 8], [27, 12], [7, 12], [26, 21]]	[[15, 2], [34, 8], [18, 19], [37, 24], [34, 29], [38, 27], [28, 34], [19, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	[[26, 18], [13, 16], [6, 8], [17, 1], [12, 28], [16, 34], [19, 12], [30, 35], [13, 22], [9, 29], [32, 24], [35, 5], [24, 14], [35, 37], [18, 28], [14, 11], [13, 7], [39, 22], [6, 34], [35, 32], [33, 34], [16, 15], [32, 20], [30, 16], [39, 27], [22, 36], [28, 7], [26, 12], [7, 13], [27, 21]]	[[16, 2], [34, 7], [19, 19], [37, 23], [34, 30], [38, 26], [29, 34], [19, 11]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33	[[25, 18], [14, 16], [7, 8], [18, 1], [13, 28], [15, 34], [19, 13], [30, 36], [12, 22], [9, 28], [32, 25], [35, 4], [24, 15], [34, 37], [18, 29], [14, 10], [13, 8], [39, 21], [6, 33], [36, 32], [34, 34], [15, 15], [31, 20], [30, 15], [39, 28], [22, 35], [28, 8], [26, 11], [7, 14], [27, 22]]	[[17, 2], [34, 6], [19, 18], [36, 23], [34, 31], [38, 27], [29, 35], [19, 12]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34	[[25, 19], [14, 17], [8, 8], [19, 1], [14, 28], [15, 35], [19, 14], [30, 37], [12, 21], [8, 28], [32, 26], [35, 3], [25, 15], [35, 37], [19, 29], [13, 10], [13, 7], [39, 20], [7, 33], [36, 33], [34, 35], [15, 14], [30, 20], [30, 14], [39, 29], [22, 34], [28, 7], [26, 10], [7, 15], [27, 23]]	[[18, 2], [35, 6], [18, 18], [36, 24], [34, 32], [38, 28], [30, 35], [19, 13]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35	[[25, 18], [13, 17], [7, 8], [20, 1], [15, 28], [16, 35], [19, 15], [30, 38], [12, 22], [8, 29], [32, 27], [34, 3], [25, 14], [35, 38], [20, 29], [13, 11], [13, 6], [38, 20], [7, 32], [36, 34], [34, 36], [14, 14], [31, 20], [31, 14], [39, 30], [21, 34], [28, 8], [26, 11], [7, 14], [27, 24]]	[[19, 2], [35, 5], [17, 18], [35, 24], [34, 33], [38, 29], [30, 36], [18, 13]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
36	[[25, 19], [12, 17], [8, 8], [21, 1], [15, 27], [16, 34], [20, 15], [30, 39], [12, 23], [9, 29], [32, 28], [33, 3], [25, 15], [35, 39], [19, 29], [12, 11], [12, 6], [38, 19], [7, 33], [36, 35], [35, 36], [13, 14], [31, 19], [31, 15], [39, 31], [22, 34], [28, 7], [26, 12], [6, 14], [27, 23]]	[[20, 2], [35, 4], [16, 18], [34, 24], [34, 34], [38, 30], [30, 37], [18, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
37	[[25, 20], [12, 18], [9, 8], [22, 1], [15, 26], [16, 35], [21, 15], [29, 39], [12, 24], [9, 30], [31, 28], [32, 3], [24, 15], [36, 39], [20, 29], [12, 10], [12, 5], [37, 19], [7, 34], [37, 35], [36, 36], [12, 14], [31, 18], [30, 15], [39, 32], [22, 35], [29, 7], [26, 11], [7, 14], [28, 23]]	[[21, 2], [34, 4], [15, 18], [35, 24], [34, 35], [38, 31], [30, 38], [19, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
38	[[24, 20], [11, 18], [8, 8], [23, 1], [15, 27], [17, 35], [21, 16], [28, 39], [12, 25], [9, 31], [31, 29], [31, 3], [25, 15], [37, 39], [20, 28], [13, 10], [13, 5], [36, 19], [6, 34], [38, 35], [36, 37], [11, 14], [31, 19], [29, 15], [39, 33], [22, 34], [29, 8], [26, 12], [7, 15], [27, 23]]	[[22, 2], [33, 4], [14, 18], [35, 23], [35, 35], [38, 32], [29, 38], [20, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
39	[[23, 20], [11, 19], [7, 8], [24, 1], [16, 27], [16, 35], [21, 17], [27, 39], [12, 24], [10, 31], [32, 29], [30, 3], [26, 15], [37, 38], [20, 29], [13, 11], [13, 4], [35, 19], [6, 35], [38, 36], [36, 38], [11, 13], [31, 18], [29, 16], [39, 34], [22, 35], [29, 9], [27, 12], [7, 16], [27, 24]]	[[23, 2], [32, 4], [13, 18], [35, 22], [35, 36], [38, 33], [28, 38], [20, 15]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
40	[[23, 21], [11, 20], [8, 8], [25, 1], [16, 28], [17, 35], [22, 17], [26, 39], [11, 24], [10, 32], [32, 28], [29, 3], [26, 16], [37, 39], [21, 29], [13, 10], [13, 5], [35, 18], [6, 34], [39, 36], [35, 38], [11, 12], [32, 18], [30, 16], [39, 35], [23, 35], [29, 10], [27, 11], [7, 15], [26, 24]]	[[24, 2], [31, 4], [12, 18], [35, 21], [36, 36], [38, 34], [27, 38], [20, 16]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
41	[[23, 22], [10, 20], [8, 9], [26, 1], [17, 28], [18, 35], [23, 17], [25, 39], [11, 25], [11, 32], [32, 27], [28, 3], [25, 16], [38, 39], [21, 30], [14, 10], [13, 6], [35, 17], [5, 34], [39, 37], [34, 38], [10, 12], [33, 18], [30, 15], [39, 36], [23, 34], [29, 9], [26, 11], [6, 15], [26, 25]]	[[25, 2], [30, 4], [12, 19], [35, 20], [36, 37], [38, 35], [26, 38], [21, 16]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
