timesteps	evaders	pursuers	evader_capture_status
0	[[26, 18], [10, 13], [1, 1], [5, 11], [5, 23], [14, 38], [15, 18], [15, 36], [9, 22], [6, 36], [30, 18], [34, 18], [19, 13], [36, 30], [15, 33], [3, 4], [18, 2], [30, 29], [1, 27], [32, 37], [30, 21], [17, 28], [32, 24], [38, 14], [21, 39], [22, 32], [19, 8], [22, 8], [1, 5], [23, 29]]	[[5, 13], [29, 2], [11, 33], [27, 29], [28, 12], [21, 37], [18, 37], [17, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	[[26, 19], [11, 13], [2, 1], [5, 10], [5, 24], [13, 38], [15, 17], [15, 35], [8, 22], [5, 36], [30, 17], [34, 17], [20, 13], [35, 30], [16, 33], [3, 5], [18, 3], [31, 29], [2, 27], [33, 37], [29, 21], [16, 28], [33, 24], [37, 14], [22, 39], [21, 32], [19, 9], [22, 7], [1, 6], [22, 29]]	[[5, 12], [29, 3], [11, 34], [28, 29], [29, 12], [21, 38], [17, 37], [16, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	[[26, 20], [12, 13], [2, 2], [5, 9], [4, 24], [12, 38], [15, 16], [15, 34], [9, 22], [6, 36], [31, 17], [34, 18], [21, 13], [34, 30], [16, 32], [4, 5], [18, 4], [32, 29], [2, 28], [33, 36], [28, 21], [15, 28], [34, 24], [36, 14], [23, 39], [22, 32], [19, 10], [23, 7], [2, 6], [23, 29]]	[[5, 11], [29, 4], [12, 34], [29, 29], [30, 12], [22, 38], [17, 36], [15, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	[[25, 20], [11, 13], [2, 3], [5, 8], [5, 24], [11, 38], [15, 15], [16, 34], [10, 22], [6, 35], [31, 18], [34, 19], [20, 13], [35, 30], [16, 31], [5, 5], [18, 5], [33, 29], [2, 29], [33, 35], [29, 21], [15, 29], [35, 24], [35, 14], [24, 39], [22, 33], [19, 9], [23, 8], [1, 6], [24, 29]]	[[5, 10], [29, 5], [13, 34], [30, 29], [31, 12], [23, 38], [17, 35], [15, 18]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	[[25, 21], [10, 13], [2, 4], [5, 7], [5, 23], [10, 38], [15, 14], [16, 33], [9, 22], [6, 34], [31, 17], [35, 19], [21, 13], [35, 31], [16, 30], [5, 4], [18, 6], [34, 29], [3, 29], [33, 34], [30, 21], [15, 28], [35, 25], [35, 15], [25, 39], [22, 32], [18, 9], [24, 8], [2, 6], [23, 29]]	[[5, 9], [30, 5], [14, 34], [31, 29], [31, 13], [24, 38], [17, 34], [15, 17]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	[[24, 21], [9, 13], [2, 3], [5, 6], [5, 22], [9, 38], [15, 13], [16, 32], [9, 21], [7, 34], [31, 18], [35, 20], [21, 12], [36, 31], [16, 29], [6, 4], [18, 5], [35, 29], [3, 30], [33, 35], [29, 21], [16, 28], [35, 24], [36, 15], [26, 39], [23, 32], [18, 8], [24, 9], [1, 6], [23, 28]]	[[5, 8], [30, 6], [15, 34], [32, 29], [31, 14], [25, 38], [17, 33], [15, 16]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	[[23, 21], [9, 14], [2, 4], [5, 5], [4, 22], [10, 38], [15, 12], [16, 31], [10, 21], [8, 34], [31, 19], [34, 20], [21, 13], [37, 31], [16, 28], [7, 4], [18, 4], [36, 29], [3, 31], [33, 34], [30, 21], [16, 27], [35, 23], [37, 15], [27, 39], [24, 32], [18, 7], [25, 9], [0, 6], [23, 27]]	[[5, 7], [31, 6], [15, 33], [33, 29], [31, 15], [26, 38], [17, 32], [15, 15]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	[[23, 20], [10, 14], [1, 4], [5, 4], [4, 23], [9, 38], [16, 12], [16, 30], [9, 21], [9, 34], [31, 20], [35, 20], [21, 14], [37, 32], [16, 27], [8, 4], [18, 5], [36, 28], [4, 31], [33, 35], [30, 22], [16, 26], [34, 23], [37, 14], [28, 39], [23, 32], [19, 7], [26, 9], [0, 7], [23, 26]]	[[5, 6], [31, 7], [15, 32], [34, 29], [31, 16], [27, 38], [16, 32], [15, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	[[24, 20], [9, 14], [0, 4], [5, 3], [5, 23], [8, 38], [16, 11], [16, 29], [10, 21], [8, 34], [30, 20], [36, 20], [21, 15], [37, 33], [16, 26], [9, 4], [18, 4], [36, 27], [4, 32], [33, 34], [30, 23], [16, 25], [34, 24], [36, 14], [29, 39], [22, 32], [20, 7], [25, 9], [0, 8], [24, 26]]	[[5, 5], [30, 7], [15, 31], [35, 29], [31, 17], [28, 38], [16, 31], [15, 13]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	[[24, 19], [10, 14], [0, 5], [5, 2], [4, 23], [8, 37], [16, 10], [16, 28], [11, 21], [7, 34], [30, 21], [37, 20], [21, 16], [37, 34], [16, 25], [10, 4], [18, 5], [36, 26], [5, 32], [34, 34], [30, 24], [16, 24], [34, 23], [35, 14], [30, 39], [23, 32], [20, 8], [24, 9], [1, 8], [23, 26]]	[[5, 4], [29, 7], [15, 30], [35, 28], [31, 18], [29, 38], [16, 30], [15, 12]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
