timesteps	evaders	pursuers
1	[[15, 15]]	[[13, 5], [22, 4], [1, 6], [10, 11]]
2	[[16, 16]]	[[14, 6], [21, 5], [2, 7], [11, 12]]
3	[[17, 17]]	[[15, 7], [20, 6], [3, 6], [12, 13]]
4	[[18, 18]]	[[16, 8], [19, 7], [4, 7], [13, 14]]
5	[[19, 19]]	[[17, 9], [19, 8], [5, 8], [13, 14]]
6	[[20, 20]]	[[17, 10], [20, 9], [6, 9], [14, 15]]
7	[[21, 21]]	[[18, 11], [21, 10], [7, 10], [15, 16]]
8	[[22, 22]]	[[19, 12], [21, 11], [8, 11], [16, 17]]
9	[[23, 23]]	[[20, 13], [22, 12], [9, 12], [17, 18]]
10	[[23, 23]]	[[21, 14], [23, 11], [10, 13], [18, 19]]
11	[[24, 24]]	[[22, 15], [24, 12], [11, 14], [19, 20]]
12	[[25, 25]]	[[23, 15], [25, 13], [12, 15], [20, 21]]
13	[[26, 26]]	[[24, 16], [26, 14], [13, 16], [21, 22]]
14	[[27, 27]]	[[25, 17], [27, 15], [14, 17], [22, 23]]
15	[[28, 28]]	[[25, 18], [28, 16], [15, 18], [23, 24]]
16	[[29, 29]]	[[26, 19], [29, 17], [16, 19], [24, 25]]
17	[[30, 30]]	[[25, 20], [30, 18], [17, 20], [25, 26]]
18	[[29, 30]]	[[25, 21], [30, 19], [18, 21], [26, 27]]
19	[[29, 29]]	[[26, 22], [30, 20], [19, 22], [27, 28]]
20	[[29, 29]]	[[27, 23], [30, 21], [20, 23], [27, 29]]
21	[[29, 28]]	[[28, 24], [30, 22], [21, 24], [27, 29]]
22	[[29, 27]]	[[29, 25], [30, 23], [22, 25], [28, 30]]
23	[[29, 26]]	[[29, 25], [30, 23], [23, 26], [29, 29]]
24	[[29, 25]]	[[28, 24], [30, 24], [24, 27], [30, 28]]
25	[[29, 24]]	[[27, 24], [30, 23], [25, 26], [30, 27]]
26	[[29, 23]]	[[27, 23], [30, 22], [26, 25], [30, 26]]
27	[[29, 22]]	[[27, 23], [30, 21], [26, 25], [30, 26]]
28	[[29, 21]]	[[27, 22], [30, 20], [27, 24], [30, 25]]
29	[[29, 20]]	[[27, 21], [29, 19], [28, 23], [30, 24]]
30	[[29, 20]]	[[27, 20], [29, 18], [29, 22], [30, 24]]
31	[[29, 19]]	[[27, 20], [29, 18], [29, 22], [30, 24]]
32	[[29, 18]]	[[27, 19], [29, 17], [29, 21], [30, 23]]
33	[[29, 17]]	[[27, 18], [29, 16], [29, 20], [30, 22]]
34	[[29, 16]]	[[27, 18], [29, 15], [29, 19], [30, 21]]
35	[[29, 15]]	[[27, 17], [29, 14], [29, 18], [30, 20]]
36	[[29, 14]]	[[27, 16], [29, 13], [29, 17], [30, 19]]
37	[[29, 13]]	[[27, 15], [29, 12], [29, 16], [30, 19]]
38	[[29, 12]]	[[27, 15], [29, 11], [29, 15], [30, 18]]
39	[[29, 11]]	[[27, 14], [29, 10], [29, 14], [30, 17]]
40	[[29, 11]]	[[27, 13], [29, 9], [29, 13], [30, 16]]
41	[[29, 10]]	[[27, 12], [29, 9], [29, 13], [30, 15]]
42	[[29, 9]]	[[27, 11], [29, 8], [29, 12], [30, 14]]
43	[[29, 8]]	[[27, 10], [29, 7], [29, 11], [30, 13]]
44	[[29, 7]]	[[27, 10], [29, 6], [29, 10], [30, 12]]
45	[[29, 6]]	[[27, 9], [29, 5], [29, 9], [30, 11]]
46	[[29, 5]]	[[27, 8], [29, 4], [29, 8], [30, 10]]
47	[[29, 4]]	[[27, 7], [29, 3], [30, 7], [29, 9]]
48	[[29, 3]]	[[28, 6], [29, 2], [30, 6], [30, 8]]
49	[[29, 2]]	[[27, 5], [29, 1], [29, 5], [30, 7]]
50	[[29, 2]]	[[27, 4], [28, 1], [29, 4], [30, 6]]
51	[[29, 1]]	[[27, 3], [27, 1], [29, 4], [30, 6]]
52	[[30, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
53	[[29, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
54	[[30, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
55	[[29, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
56	[[30, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
57	[[29, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
58	[[30, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
59	[[29, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
60	[[29, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
61	[[30, 1]]	[[27, 3], [27, 1], [29, 3], [30, 5]]
62	[[29, 1]]	[[27, 4], [26, 1], [28, 3], [30, 6]]
63	[[29, 2]]	[[26, 3], [27, 2], [28, 2], [30, 5]]
64	[[29, 3]]	[[27, 4], [26, 2], [28, 1], [30, 4]]
65	[[29, 4]]	[[27, 4], [26, 2], [28, 1], [30, 5]]
66	[[29, 5]]	[[27, 5], [27, 3], [29, 2], [30, 6]]
67	[[29, 6]]	[[27, 6], [27, 4], [30, 3], [30, 7]]
68	[[29, 7]]	[[27, 7], [27, 5], [30, 4], [30, 8]]
69	[[29, 8]]	[[27, 7], [27, 5], [30, 5], [29, 9]]
70	[[29, 8]]	[[27, 8], [28, 6], [30, 6], [29, 10]]
71	[[29, 9]]	[[27, 8], [28, 6], [30, 6], [29, 10]]
72	[[29, 10]]	[[27, 9], [28, 7], [30, 7], [29, 11]]
73	[[29, 11]]	[[26, 10], [28, 8], [30, 8], [29, 12]]
74	[[29, 12]]	[[27, 11], [28, 9], [30, 9], [29, 13]]
75	[[29, 13]]	[[27, 12], [28, 10], [30, 10], [29, 14]]
