timesteps	evaders	pursuers	evader_capture_status
10	[[25, 15], [12, 11], [7, 1], [6, 4], [2, 20], [7, 35], [13, 16], [14, 33], [11, 22], [2, 32], [32, 14], [32, 18], [17, 14], [36, 34], [15, 27], [2, 3], [20, 2], [33, 28], [0, 22], [33, 34], [26, 21], [19, 27], [34, 24], [38, 18], [13, 37], [17, 31], [17, 7], [22, 6], [2, 2], [23, 27]]	[[6, 9], [31, 4], [12, 31], [28, 35], [26, 12], [19, 35], [21, 39], [17, 20]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11	[[25, 16], [13, 11], [8, 1], [6, 5], [2, 19], [6, 35], [12, 16], [13, 33], [12, 22], [1, 32], [32, 13], [32, 19], [16, 14], [36, 35], [15, 28], [1, 3], [20, 1], [33, 29], [0, 21], [32, 34], [26, 22], [19, 27], [34, 23], [38, 19], [13, 36], [16, 31], [17, 6], [22, 7], [1, 2], [24, 27]]	[[6, 9], [30, 4], [13, 31], [28, 36], [26, 11], [20, 35], [21, 38], [17, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	[[24, 16], [13, 10], [8, 2], [5, 5], [2, 18], [6, 34], [11, 16], [12, 33], [12, 21], [1, 31], [31, 13], [32, 18], [16, 15], [35, 35], [15, 27], [2, 3], [20, 2], [32, 29], [0, 20], [32, 35], [26, 21], [20, 27], [35, 23], [37, 19], [14, 36], [17, 31], [17, 5], [21, 7], [1, 1], [25, 27]]	[[7, 9], [29, 4], [12, 31], [27, 36], [25, 11], [20, 34], [20, 38], [18, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13	[[24, 17], [13, 9], [8, 3], [5, 6], [2, 17], [6, 33], [12, 16], [12, 34], [12, 20], [2, 31], [31, 12], [32, 17], [17, 15], [35, 36], [15, 26], [2, 4], [21, 2], [32, 28], [0, 19], [32, 34], [25, 21], [20, 26], [34, 23], [38, 19], [13, 36], [16, 31], [17, 4], [20, 7], [2, 1], [25, 28]]	[[7, 8], [29, 5], [13, 31], [27, 36], [25, 12], [21, 34], [20, 37], [18, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14	[[23, 17], [13, 10], [8, 2], [4, 6], [2, 16], [7, 33], [12, 15], [11, 34], [12, 19], [2, 30], [31, 13], [32, 18], [17, 14], [35, 35], [15, 25], [2, 3], [21, 1], [31, 28], [0, 18], [32, 33], [25, 22], [21, 26], [33, 23], [38, 20], [14, 36], [16, 32], [16, 4], [20, 8], [2, 0], [26, 28]]	[[7, 8], [29, 6], [13, 32], [28, 36], [24, 12], [21, 33], [20, 37], [17, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15	[[24, 17], [13, 9], [8, 3], [3, 6], [2, 15], [8, 33], [11, 15], [10, 34], [12, 20], [3, 30], [31, 13], [32, 19], [17, 13], [34, 35], [15, 25], [3, 3], [21, 2], [30, 28], [0, 17], [32, 33], [25, 21], [20, 26], [33, 24], [38, 21], [14, 37], [16, 31], [17, 4], [20, 7], [3, 0], [26, 27]]	[[7, 8], [29, 7], [13, 32], [28, 37], [24, 12], [22, 33], [19, 37], [18, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16	[[24, 16], [13, 8], [8, 2], [2, 6], [2, 14], [8, 34], [11, 14], [10, 33], [12, 21], [2, 30], [31, 14], [32, 18], [17, 12], [34, 34], [14, 25], [3, 4], [20, 2], [30, 27], [0, 16], [31, 33], [25, 22], [21, 26], [34, 24], [38, 22], [15, 37], [16, 32], [17, 3], [21, 7], [4, 0], [26, 27]]	[[7, 7], [29, 7], [12, 32], [28, 36], [25, 12], [21, 33], [18, 37], [18, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17	[[23, 16], [14, 8], [9, 2], [3, 6], [2, 13], [8, 35], [11, 13], [10, 32], [12, 20], [1, 30], [30, 14], [33, 18], [17, 13], [34, 33], [14, 26], [3, 3], [21, 2], [31, 27], [0, 15], [31, 32], [25, 21], [20, 26], [35, 24], [38, 23], [15, 36], [16, 31], [16, 3], [20, 7], [4, 1], [26, 26]]	[[7, 7], [30, 7], [11, 32], [29, 36], [24, 12], [20, 33], [18, 36], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
18	[[22, 16], [14, 7], [10, 2], [2, 6], [3, 13], [8, 34], [10, 13], [9, 32], [11, 20], [2, 30], [29, 14], [33, 19], [17, 14], [35, 33], [13, 26], [3, 2], [22, 2], [31, 26], [0, 14], [31, 31], [24, 21], [20, 27], [34, 24], [39, 23], [14, 36], [16, 30], [15, 3], [20, 8], [5, 1], [27, 26]]	[[6, 7], [30, 6], [11, 32], [29, 35], [24, 11], [21, 33], [17, 36], [20, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
19	[[22, 17], [14, 8], [10, 3], [1, 6], [2, 13], [8, 35], [10, 12], [8, 32], [12, 20], [2, 31], [29, 15], [32, 19], [17, 13], [35, 34], [12, 26], [3, 1], [22, 3], [31, 25], [0, 13], [31, 32], [24, 22], [20, 26], [35, 24], [39, 24], [13, 36], [17, 30], [16, 3], [19, 8], [5, 2], [27, 25]]	[[6, 6], [30, 7], [12, 32], [29, 36], [24, 11], [21, 33], [16, 36], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	[[22, 18], [14, 9], [10, 2], [0, 6], [3, 13], [7, 35], [9, 12], [7, 32], [11, 20], [3, 31], [29, 14], [33, 19], [16, 13], [35, 35], [12, 25], [3, 0], [22, 4], [30, 25], [0, 12], [31, 33], [25, 22], [19, 26], [36, 24], [38, 24], [13, 35], [17, 31], [15, 3], [18, 8], [6, 2], [27, 26]]	[[7, 6], [29, 7], [13, 32], [29, 35], [24, 10], [22, 33], [17, 36], [19, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	[[22, 17], [13, 9], [10, 3], [0, 5], [3, 14], [7, 34], [8, 12], [8, 32], [12, 20], [3, 30], [30, 14], [33, 18], [17, 13], [36, 35], [13, 25], [3, 1], [23, 4], [30, 24], [0, 11], [31, 32], [25, 21], [19, 25], [35, 24], [38, 25], [13, 36], [17, 30], [15, 4], [18, 7], [5, 2], [26, 26]]	[[7, 5], [29, 6], [13, 31], [29, 36], [24, 11], [21, 33], [16, 36], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	[[21, 17], [13, 8], [11, 3], [0, 4], [3, 15], [7, 35], [8, 11], [8, 31], [13, 20], [2, 30], [29, 14], [33, 19], [18, 13], [37, 35], [13, 26], [2, 1], [23, 3], [30, 25], [0, 10], [31, 31], [24, 21], [19, 26], [35, 25], [38, 26], [13, 37], [17, 29], [15, 3], [18, 8], [6, 2], [26, 27]]	[[7, 6], [28, 6], [14, 31], [29, 36], [24, 11], [22, 33], [17, 36], [19, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
23	[[21, 18], [12, 8], [10, 3], [1, 4], [3, 14], [8, 35], [8, 12], [8, 32], [14, 20], [2, 29], [28, 14], [34, 19], [17, 13], [36, 35], [12, 26], [2, 2], [23, 2], [30, 24], [0, 11], [32, 31], [25, 21], [20, 26], [34, 25], [39, 26], [13, 36], [17, 28], [15, 4], [18, 7], [6, 3], [26, 28]]	[[7, 6], [28, 5], [14, 31], [30, 36], [23, 11], [22, 33], [17, 36], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	[[21, 17], [13, 8], [10, 2], [1, 3], [2, 14], [7, 35], [8, 11], [8, 31], [14, 19], [3, 29], [27, 14], [34, 20], [17, 14], [37, 35], [12, 25], [2, 1], [22, 2], [30, 23], [0, 10], [32, 30], [24, 21], [20, 25], [35, 25], [39, 27], [12, 36], [17, 29], [15, 3], [17, 7], [6, 2], [25, 28]]	[[7, 5], [28, 4], [14, 30], [29, 36], [24, 11], [22, 34], [17, 35], [19, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	[[21, 16], [14, 8], [10, 1], [0, 3], [3, 14], [7, 34], [8, 10], [8, 30], [14, 18], [2, 29], [28, 14], [34, 19], [17, 13], [37, 36], [12, 24], [2, 2], [21, 2], [31, 23], [0, 9], [32, 29], [24, 21], [21, 25], [34, 25], [39, 28], [12, 35], [18, 29], [15, 2], [17, 6], [6, 1], [25, 29]]	[[7, 6], [29, 4], [14, 30], [30, 36], [24, 11], [22, 33], [16, 35], [18, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	[[20, 16], [13, 8], [11, 1], [0, 4], [3, 15], [8, 34], [9, 10], [8, 29], [13, 18], [2, 28], [28, 15], [33, 19], [16, 13], [36, 36], [13, 24], [2, 3], [21, 3], [31, 24], [0, 8], [32, 28], [25, 21], [21, 26], [35, 25], [39, 29], [11, 35], [19, 29], [16, 2], [18, 6], [5, 1], [26, 29]]	[[7, 6], [29, 5], [14, 30], [29, 36], [25, 11], [21, 33], [17, 35], [19, 21]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
27	[[21, 16], [13, 7], [12, 1], [0, 3], [3, 14], [7, 34], [9, 11], [8, 28], [13, 17], [3, 28], [28, 16], [34, 19], [17, 13], [35, 36], [13, 25], [2, 2], [21, 2], [30, 24], [0, 9], [32, 29], [26, 21], [20, 26], [35, 24], [39, 30], [11, 34], [18, 29], [16, 3], [19, 6], [4, 1], [26, 29]]	[[7, 5], [29, 6], [15, 30], [28, 36], [25, 10], [21, 32], [17, 35], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	[[21, 17], [13, 8], [13, 1], [0, 2], [2, 14], [6, 34], [10, 11], [8, 27], [14, 17], [3, 27], [28, 15], [33, 19], [17, 14], [35, 35], [12, 25], [1, 2], [22, 2], [29, 24], [0, 8], [33, 29], [25, 21], [21, 26], [35, 25], [39, 31], [11, 35], [19, 29], [15, 3], [19, 7], [5, 1], [27, 29]]	[[7, 6], [29, 7], [14, 30], [28, 35], [25, 10], [22, 32], [17, 34], [19, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	[[20, 17], [14, 8], [12, 1], [0, 1], [2, 15], [6, 33], [10, 12], [8, 26], [15, 17], [3, 26], [27, 15], [34, 19], [17, 13], [34, 35], [11, 25], [2, 2], [21, 2], [29, 24], [0, 7], [33, 28], [25, 20], [20, 26], [35, 24], [38, 31], [10, 35], [19, 28], [16, 3], [20, 7], [4, 1], [27, 28]]	[[8, 6], [28, 7], [14, 29], [29, 35], [25, 11], [21, 32], [17, 34], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	[[19, 17], [14, 9], [13, 1], [0, 0], [2, 16], [6, 32], [9, 12], [8, 26], [14, 17], [3, 25], [26, 15], [35, 19], [17, 12], [35, 35], [11, 24], [2, 3], [22, 2], [29, 23], [1, 7], [33, 29], [24, 20], [20, 25], [35, 23], [38, 32], [11, 35], [18, 28], [15, 3], [19, 7], [5, 1], [27, 28]]	[[9, 6], [28, 6], [14, 30], [29, 35], [25, 11], [22, 32], [18, 34], [19, 22]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
31	[[20, 17], [14, 10], [12, 1], [1, 0], [3, 16], [5, 32], [9, 11], [8, 26], [13, 17], [3, 26], [27, 15], [34, 19], [18, 12], [34, 35], [11, 23], [3, 3], [22, 3], [29, 24], [1, 6], [33, 28], [24, 19], [20, 24], [34, 23], [38, 33], [10, 35], [18, 29], [15, 4], [19, 6], [5, 0], [27, 27]]	[[9, 5], [29, 6], [14, 30], [28, 35], [24, 11], [22, 32], [17, 34], [19, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32	[[21, 17], [15, 10], [13, 1], [2, 0], [2, 16], [4, 32], [9, 10], [9, 26], [13, 16], [3, 27], [28, 15], [33, 19], [18, 11], [34, 34], [11, 24], [2, 3], [22, 2], [29, 25], [0, 6], [33, 27], [25, 19], [21, 24], [35, 23], [38, 34], [10, 35], [18, 28], [15, 3], [18, 6], [5, 1], [28, 27]]	[[10, 5], [30, 6], [14, 30], [27, 35], [24, 12], [22, 31], [18, 34], [20, 23]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33	[[20, 17], [15, 9], [14, 1], [3, 0], [2, 17], [3, 32], [8, 10], [8, 26], [12, 16], [3, 26], [29, 15], [33, 20], [18, 12], [33, 34], [12, 24], [2, 2], [22, 1], [29, 24], [0, 5], [34, 27], [26, 19], [21, 25], [34, 23], [39, 34], [10, 36], [18, 27], [16, 3], [18, 5], [6, 1], [27, 27]]	[[9, 5], [30, 6], [15, 30], [27, 35], [25, 12], [22, 31], [18, 34], [20, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34	[[20, 18], [15, 8], [15, 1], [3, 1], [1, 17], [2, 32], [8, 11], [8, 27], [12, 15], [2, 26], [29, 14], [33, 19], [18, 11], [32, 34], [11, 24], [2, 3], [22, 2], [29, 23], [0, 4], [34, 27], [26, 20], [22, 25], [35, 23], [39, 35], [10, 35], [18, 28], [17, 3], [18, 4], [6, 2], [27, 28]]	[[8, 5], [30, 6], [15, 30], [28, 35], [25, 12], [22, 30], [18, 34], [21, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35	[[20, 17], [15, 7], [14, 1], [3, 0], [1, 16], [2, 33], [8, 10], [8, 26], [13, 15], [1, 26], [30, 14], [34, 19], [19, 11], [32, 35], [12, 24], [2, 2], [23, 2], [28, 23], [0, 3], [34, 28], [26, 21], [23, 25], [35, 24], [38, 35], [10, 34], [17, 28], [16, 3], [19, 4], [6, 1], [27, 29]]	[[7, 5], [31, 6], [15, 30], [27, 35], [25, 12], [22, 31], [18, 35], [21, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
36	[[20, 18], [15, 7], [14, 2], [2, 0], [1, 15], [3, 33], [8, 11], [7, 26], [13, 14], [2, 26], [31, 14], [34, 18], [19, 10], [31, 35], [11, 24], [3, 2], [22, 2], [29, 23], [0, 4], [34, 29], [26, 20], [22, 25], [35, 23], [37, 35], [9, 34], [17, 27], [16, 2], [20, 4], [6, 2], [27, 28]]	[[7, 4], [32, 6], [16, 30], [26, 35], [25, 12], [23, 31], [18, 35], [21, 25]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
37	[[19, 18], [15, 6], [13, 2], [3, 0], [1, 14], [2, 33], [7, 11], [7, 27], [14, 14], [2, 27], [31, 14], [35, 18], [18, 10], [32, 35], [11, 25], [3, 3], [22, 1], [29, 24], [0, 3], [34, 29], [26, 19], [23, 25], [35, 22], [36, 35], [9, 35], [18, 27], [17, 2], [21, 4], [6, 1], [28, 28]]	[[7, 5], [31, 6], [16, 31], [26, 36], [25, 12], [23, 30], [17, 35], [21, 24]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
38	[[19, 18], [15, 5], [13, 3], [2, 0], [2, 14], [1, 33], [6, 11], [7, 28], [14, 15], [2, 28], [32, 14], [34, 18], [19, 10], [32, 34], [11, 24], [2, 3], [23, 1], [29, 25], [0, 4], [33, 29], [26, 18], [24, 25], [35, 23], [35, 35], [9, 34], [17, 27], [17, 1], [21, 5], [7, 1], [27, 28]]	[[8, 5], [31, 6], [16, 32], [26, 35], [24, 12], [22, 30], [17, 36], [21, 25]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
39	[[18, 18], [15, 4], [12, 3], [3, 0], [2, 15], [0, 33], [5, 11], [7, 29], [15, 15], [2, 27], [32, 13], [33, 18], [18, 10], [32, 33], [10, 24], [3, 3], [23, 0], [29, 26], [0, 3], [32, 29], [25, 18], [25, 25], [35, 24], [36, 35], [9, 35], [16, 27], [18, 1], [20, 5], [8, 1], [28, 28]]	[[8, 5], [32, 6], [16, 32], [26, 34], [24, 12], [23, 30], [17, 36], [21, 26]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
40	[[18, 19], [15, 3], [12, 2], [4, 0], [2, 16], [1, 33], [6, 11], [7, 28], [15, 15], [1, 27], [32, 12], [32, 18], [18, 9], [31, 33], [11, 24], [3, 4], [23, 1], [30, 26], [0, 2], [33, 29], [26, 18], [25, 24], [35, 25], [36, 34], [9, 34], [15, 27], [18, 2], [20, 4], [8, 0], [28, 29]]	[[8, 4], [31, 6], [15, 32], [25, 34], [23, 12], [23, 29], [17, 35], [22, 26]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
41	[[19, 19], [14, 3], [13, 2], [3, 0], [3, 16], [2, 33], [6, 10], [7, 29], [15, 14], [1, 26], [32, 11], [31, 18], [17, 9], [31, 32], [10, 24], [2, 4], [24, 1], [30, 27], [0, 3], [33, 28], [25, 18], [26, 24], [36, 25], [36, 35], [8, 34], [14, 27], [18, 1], [21, 4], [9, 0], [29, 29]]	[[8, 5], [32, 6], [16, 32], [26, 34], [22, 12], [24, 29], [17, 35], [21, 26]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
