timesteps	evaders	pursuers	evader_capture_status
0	[[26, 18], [10, 13], [2, 0], [5, 11], [6, 22], [14, 36], [15, 18], [15, 36], [9, 22], [6, 36], [30, 18], [34, 18], [19, 13], [36, 30], [14, 32], [3, 4], [19, 1], [30, 29], [0, 26], [30, 37], [30, 23], [17, 28], [32, 24], [39, 15], [20, 38], [21, 31], [19, 8], [22, 8], [0, 4], [23, 29]]	[[4, 13], [30, 2], [10, 32], [27, 31], [27, 13], [21, 37], [19, 38], [18, 20]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	[[26, 19], [11, 13], [3, 0], [5, 10], [5, 22], [13, 36], [15, 17], [15, 35], [8, 22], [5, 36], [31, 18], [35, 18], [19, 14], [35, 30], [14, 33], [3, 5], [19, 2], [31, 29], [0, 25], [29, 37], [29, 23], [16, 28], [33, 24], [38, 15], [19, 38], [20, 31], [18, 8], [22, 7], [0, 3], [23, 28]]	[[4, 13], [30, 3], [9, 32], [28, 31], [28, 13], [20, 37], [18, 38], [17, 20]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	[[26, 18], [12, 13], [3, 1], [6, 10], [4, 22], [12, 36], [15, 16], [14, 35], [9, 22], [4, 36], [31, 17], [34, 18], [19, 13], [34, 30], [13, 33], [2, 5], [19, 1], [31, 28], [0, 24], [29, 36], [28, 23], [16, 28], [34, 24], [38, 16], [19, 39], [20, 32], [18, 9], [22, 8], [0, 2], [22, 28]]	[[4, 13], [30, 4], [10, 32], [28, 32], [28, 12], [21, 37], [19, 38], [17, 20]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	[[25, 18], [11, 13], [4, 1], [6, 9], [4, 21], [11, 36], [14, 16], [15, 35], [10, 22], [4, 35], [31, 16], [35, 18], [19, 13], [35, 30], [13, 32], [3, 5], [19, 2], [32, 28], [0, 23], [30, 36], [28, 22], [17, 28], [35, 24], [37, 16], [18, 39], [20, 33], [18, 8], [23, 8], [1, 2], [22, 29]]	[[4, 12], [29, 4], [10, 32], [27, 32], [28, 11], [22, 37], [19, 39], [16, 20]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	[[26, 18], [10, 13], [4, 2], [7, 9], [5, 21], [11, 35], [14, 15], [15, 34], [10, 23], [4, 34], [31, 15], [35, 19], [18, 13], [35, 31], [14, 32], [2, 5], [20, 2], [32, 29], [0, 22], [30, 35], [28, 21], [18, 28], [36, 24], [37, 17], [17, 39], [19, 33], [18, 8], [23, 7], [1, 1], [21, 29]]	[[4, 11], [30, 4], [10, 31], [27, 32], [28, 11], [22, 36], [19, 38], [16, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	[[25, 18], [9, 13], [5, 2], [7, 8], [5, 20], [11, 36], [14, 14], [16, 34], [10, 22], [4, 35], [31, 14], [34, 19], [19, 13], [36, 31], [15, 32], [1, 5], [20, 1], [32, 28], [0, 23], [30, 34], [27, 21], [18, 29], [36, 25], [38, 17], [16, 39], [18, 33], [18, 7], [24, 7], [1, 2], [22, 29]]	[[5, 11], [29, 4], [10, 31], [27, 33], [28, 12], [22, 37], [19, 39], [16, 18]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	[[24, 18], [10, 13], [6, 2], [7, 7], [4, 20], [10, 36], [14, 15], [15, 34], [10, 23], [4, 34], [32, 14], [33, 19], [19, 12], [36, 32], [15, 31], [1, 4], [20, 2], [31, 28], [0, 24], [31, 34], [27, 20], [18, 30], [36, 24], [38, 18], [15, 39], [18, 32], [18, 6], [23, 7], [2, 2], [23, 29]]	[[6, 11], [30, 4], [11, 31], [26, 33], [27, 12], [22, 36], [19, 38], [16, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	[[24, 17], [11, 13], [7, 2], [7, 6], [3, 20], [9, 36], [13, 15], [14, 34], [9, 23], [4, 33], [32, 15], [32, 19], [18, 12], [35, 32], [15, 30], [2, 4], [20, 3], [32, 28], [0, 23], [32, 34], [27, 21], [18, 29], [35, 24], [38, 17], [14, 39], [18, 33], [18, 5], [23, 6], [3, 2], [23, 28]]	[[7, 11], [30, 5], [10, 31], [26, 34], [27, 13], [22, 35], [19, 38], [17, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	[[24, 16], [11, 12], [6, 2], [7, 5], [3, 19], [8, 36], [13, 16], [14, 33], [10, 23], [3, 33], [31, 15], [33, 19], [18, 13], [36, 32], [15, 29], [1, 4], [20, 2], [32, 29], [0, 24], [31, 34], [27, 20], [18, 28], [34, 24], [38, 18], [14, 38], [17, 33], [18, 6], [24, 6], [2, 2], [24, 28]]	[[7, 10], [30, 5], [10, 31], [27, 34], [26, 13], [21, 35], [20, 38], [18, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	[[24, 15], [12, 12], [7, 2], [7, 4], [2, 19], [8, 35], [12, 16], [14, 34], [10, 22], [2, 33], [32, 15], [33, 18], [18, 14], [36, 33], [15, 28], [1, 3], [21, 2], [32, 28], [0, 23], [32, 34], [27, 21], [18, 27], [34, 25], [38, 19], [13, 38], [17, 32], [17, 6], [23, 6], [2, 1], [23, 28]]	[[6, 10], [31, 5], [11, 31], [28, 34], [26, 13], [20, 35], [20, 39], [17, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
