timesteps	evaders	pursuers
2	[[13, 17], [21, 15], [14, 13], [25, 7], [7, 5], [6, 8], [18, 31], [29, 33], [17, 9], [6, 22]]	[[29, 25], [32, 20], [30, 28], [22, 13], [10, 13], [38, 5], [27, 33], [7, 34], [4, 20], [21, 1], [10, 23], [23, 5], [3, 35], [35, 13], [0, 34], [25, 29], [4, 22], [15, 35], [35, 26], [38, 17], [7, 37], [14, 23], [9, 15], [2, 32], [6, 17], [36, 7], [24, 25], [4, 10], [36, 25], [5, 3], [36, 33], [18, 19], [3, 18], [23, 23], [14, 28], [38, 35], [1, 27], [19, 17], [35, 30], [35, 33]]
3	[[12, 17], [20, 15], [15, 13], [24, 7], [7, 4], [6, 9], [18, 30], [28, 33], [17, 10], [6, 21]]	[[30, 25], [32, 19], [30, 29], [21, 13], [11, 13], [37, 5], [27, 33], [8, 34], [5, 20], [22, 1], [9, 23], [23, 6], [3, 34], [35, 14], [0, 33], [25, 30], [5, 22], [15, 34], [34, 26], [38, 18], [8, 37], [15, 23], [10, 15], [1, 32], [6, 18], [36, 8], [25, 25], [5, 10], [37, 25], [6, 3], [36, 34], [18, 18], [3, 19], [24, 23], [15, 28], [38, 36], [1, 26], [20, 17], [35, 31], [35, 34]]
4	[[13, 17], [20, 14], [15, 12], [24, 6], [7, 3], [7, 9], [18, 31], [29, 33], [17, 11], [6, 22]]	[[31, 25], [33, 19], [30, 30], [20, 13], [12, 13], [36, 5], [28, 33], [9, 34], [6, 20], [22, 2], [8, 23], [23, 6], [3, 33], [35, 15], [0, 32], [26, 30], [5, 22], [15, 33], [35, 26], [38, 19], [7, 37], [16, 23], [11, 15], [1, 31], [7, 18], [36, 9], [26, 25], [6, 10], [37, 26], [6, 3], [36, 35], [17, 18], [4, 19], [24, 22], [15, 29], [38, 37], [2, 26], [20, 16], [35, 32], [35, 35]]
5	[[12, 17], [19, 14], [14, 12], [24, 7], [7, 4], [7, 8], [18, 30], [29, 32], [18, 11], [7, 22]]	[[32, 25], [33, 20], [30, 31], [19, 13], [13, 13], [35, 5], [29, 33], [10, 34], [7, 20], [22, 3], [8, 23], [23, 7], [4, 33], [35, 16], [0, 31], [27, 30], [6, 22], [15, 32], [35, 27], [38, 20], [6, 37], [17, 23], [11, 16], [2, 31], [8, 18], [36, 10], [27, 25], [6, 9], [38, 26], [7, 3], [36, 35], [16, 18], [4, 20], [24, 21], [16, 29], [38, 38], [3, 26], [20, 15], [35, 33], [34, 35]]
6	[[11, 17], [18, 14], [14, 13], [25, 7], [7, 5], [7, 9], [18, 29], [30, 32], [18, 10], [7, 21]]	[[33, 25], [34, 20], [30, 31], [19, 12], [13, 13], [35, 6], [29, 33], [10, 35], [7, 20], [22, 4], [8, 22], [24, 7], [5, 33], [35, 17], [0, 30], [28, 30], [7, 22], [15, 31], [35, 28], [38, 21], [5, 37], [18, 23], [11, 16], [3, 31], [9, 18], [36, 11], [28, 25], [6, 9], [38, 27], [7, 4], [36, 36], [16, 17], [5, 20], [24, 20], [17, 29], [38, 39], [3, 25], [19, 15], [34, 33], [33, 35]]
7	[[11, 18], [17, 14], [14, 14], [25, 8], [8, 5], [7, 8], [18, 30], [29, 32], [18, 9], [6, 21]]	[[34, 25], [34, 19], [29, 31], [19, 11], [14, 13], [35, 7], [29, 33], [10, 36], [7, 21], [22, 5], [8, 21], [24, 8], [6, 33], [34, 17], [0, 29], [28, 31], [6, 22], [16, 31], [35, 29], [38, 22], [4, 37], [18, 22], [11, 17], [3, 30], [10, 18], [36, 12], [29, 25], [6, 8], [39, 27], [7, 5], [36, 37], [16, 16], [6, 20], [25, 20], [18, 29], [37, 39], [3, 24], [18, 15], [33, 33], [32, 35]]
8	[[12, 18], [17, 15], [14, 15], [26, 8], [9, 5], [7, 7], [19, 30], [28, 32], [18, 10], [5, 21]]	[[34, 24], [34, 20], [29, 32], [18, 11], [14, 14], [35, 8], [28, 33], [10, 37], [6, 21], [23, 5], [8, 20], [25, 8], [6, 32], [34, 16], [0, 28], [28, 31], [5, 22], [17, 31], [35, 30], [38, 23], [3, 37], [18, 21], [12, 17], [3, 29], [10, 18], [36, 13], [30, 25], [7, 8], [39, 28], [7, 6], [36, 38], [16, 16], [5, 20], [25, 19], [19, 29], [36, 39], [3, 23], [18, 15], [32, 33], [31, 35]]
9	[[13, 18], [17, 14], [15, 15], [26, 9], [10, 5], [8, 7], [19, 31], [27, 32], [19, 10], [4, 21]]	[[34, 25], [33, 20], [28, 32], [18, 10], [13, 14], [35, 9], [27, 33], [9, 37], [5, 21], [23, 6], [9, 20], [26, 8], [7, 32], [33, 16], [1, 28], [27, 31], [4, 22], [18, 31], [35, 31], [38, 24], [2, 37], [17, 21], [13, 17], [3, 28], [11, 18], [36, 14], [30, 26], [7, 7], [39, 29], [8, 6], [35, 38], [16, 15], [4, 20], [25, 18], [19, 30], [35, 39], [3, 22], [17, 15], [31, 33], [30, 35]]
10	[[13, 19], [16, 14], [15, 16], [26, 10], [11, 5], [9, 7], [19, 32], [26, 32], [19, 11], [3, 21]]	[[34, 26], [32, 20], [27, 32], [18, 11], [13, 15], [35, 10], [26, 33], [8, 37], [4, 21], [23, 7], [10, 20], [26, 9], [8, 32], [32, 16], [1, 27], [26, 31], [4, 22], [18, 32], [35, 32], [38, 25], [2, 36], [16, 21], [14, 17], [4, 28], [12, 18], [36, 15], [30, 25], [8, 7], [39, 30], [9, 6], [34, 38], [16, 15], [3, 20], [25, 17], [19, 31], [34, 39], [3, 22], [17, 16], [30, 33], [29, 35]]
11	[[14, 19], [17, 14], [14, 16], [26, 11], [11, 6], [10, 7], [19, 33], [25, 32], [19, 12], [2, 21]]	[[34, 27], [33, 20], [26, 32], [18, 12], [14, 15], [35, 11], [25, 33], [7, 37], [3, 21], [23, 8], [11, 20], [26, 10], [9, 32], [31, 16], [2, 27], [25, 31], [4, 23], [18, 33], [35, 33], [38, 26], [2, 35], [15, 21], [14, 17], [5, 28], [13, 18], [36, 16], [30, 26], [9, 7], [39, 31], [10, 6], [34, 37], [16, 14], [2, 20], [25, 16], [19, 32], [33, 39], [2, 22], [17, 16], [29, 33], [28, 35]]
12	[[14, 18], [17, 15], [13, 16], [26, 12], [11, 5], [10, 8], [20, 33], [24, 32], [19, 13], [1, 21]]	[[34, 28], [34, 20], [25, 32], [18, 13], [13, 15], [35, 12], [24, 33], [6, 37], [2, 21], [23, 9], [12, 20], [26, 11], [10, 32], [30, 16], [3, 27], [24, 31], [3, 23], [19, 33], [35, 34], [38, 27], [2, 34], [15, 20], [14, 17], [6, 28], [13, 18], [36, 17], [30, 25], [10, 7], [39, 32], [10, 5], [33, 37], [17, 14], [1, 20], [25, 15], [20, 32], [32, 39], [1, 22], [17, 16], [28, 33], [27, 35]]
13	[[15, 18], [18, 15], [14, 16], [27, 12], [11, 6], [10, 9], [20, 34], [23, 32], [19, 12], [0, 21]]	[[34, 29], [35, 20], [25, 32], [18, 12], [14, 15], [35, 13], [23, 33], [5, 37], [1, 21], [22, 9], [13, 20], [27, 11], [11, 32], [30, 15], [4, 27], [23, 31], [2, 23], [19, 34], [35, 35], [38, 28], [2, 33], [15, 19], [14, 17], [7, 28], [14, 18], [36, 18], [31, 25], [10, 6], [39, 33], [11, 5], [32, 37], [18, 14], [0, 20], [25, 14], [20, 33], [31, 39], [0, 22], [17, 15], [27, 33], [26, 35]]
14	[[15, 17], [19, 15], [13, 16], [26, 12], [12, 6], [10, 8], [21, 34], [24, 32], [20, 12], [0, 21]]	[[34, 30], [35, 21], [25, 32], [19, 12], [13, 15], [35, 14], [23, 32], [4, 37], [1, 21], [22, 10], [13, 19], [27, 11], [12, 32], [29, 15], [5, 27], [24, 31], [3, 23], [20, 34], [35, 36], [38, 29], [3, 33], [15, 19], [14, 17], [8, 28], [15, 18], [36, 19], [32, 25], [11, 6], [39, 34], [12, 5], [31, 37], [19, 14], [0, 20], [25, 13], [21, 33], [30, 39], [0, 22], [18, 15], [27, 32], [25, 35]]
15	[[15, 16], [20, 15], [12, 16], [25, 12], [12, 7], [10, 7], [21, 35], [24, 33], [20, 11], [0, 21]]	[[34, 31], [35, 22], [25, 33], [20, 12], [12, 15], [35, 15], [23, 33], [4, 36], [1, 21], [21, 10], [13, 18], [26, 11], [13, 32], [28, 15], [6, 27], [24, 32], [4, 23], [20, 35], [35, 37], [38, 30], [3, 32], [16, 19], [14, 16], [9, 28], [15, 17], [36, 20], [33, 25], [11, 6], [39, 35], [12, 6], [30, 37], [20, 14], [0, 20], [25, 13], [21, 34], [29, 39], [0, 22], [19, 15], [27, 33], [25, 34]]
16	[[15, 15], [20, 16], [13, 16], [26, 12], [11, 7], [10, 8], [21, 36], [24, 34], [21, 11], [0, 21]]	[[33, 31], [35, 23], [25, 33], [21, 12], [12, 14], [35, 16], [23, 34], [4, 35], [1, 21], [21, 10], [13, 17], [26, 11], [14, 32], [28, 14], [7, 27], [24, 33], [4, 22], [20, 36], [35, 38], [38, 31], [2, 32], [17, 19], [14, 16], [10, 28], [15, 16], [37, 20], [34, 25], [11, 6], [39, 36], [12, 7], [31, 37], [20, 14], [0, 20], [24, 13], [21, 35], [29, 38], [0, 22], [19, 16], [27, 34], [25, 34]]
17	[[15, 14], [21, 16], [13, 15], [27, 12], [10, 7], [10, 9], [22, 36], [24, 35], [22, 11], [0, 21]]	[[33, 30], [35, 24], [25, 32], [21, 11], [12, 13], [35, 17], [23, 35], [4, 34], [1, 21], [22, 10], [13, 16], [27, 11], [15, 32], [28, 13], [8, 27], [24, 34], [4, 21], [21, 36], [34, 38], [38, 32], [2, 31], [18, 19], [14, 15], [10, 27], [15, 15], [38, 20], [35, 25], [10, 6], [39, 37], [11, 7], [31, 36], [20, 15], [0, 20], [25, 13], [22, 35], [28, 38], [0, 22], [20, 16], [27, 35], [25, 35]]
18	[[14, 14], [21, 15], [12, 15], [26, 12], [10, 8], [11, 9], [23, 36], [24, 36], [23, 11], [0, 21]]	[[32, 30], [35, 24], [25, 33], [22, 11], [12, 12], [35, 18], [23, 35], [5, 34], [1, 21], [23, 10], [13, 15], [26, 11], [16, 32], [27, 13], [8, 28], [24, 35], [4, 20], [21, 36], [33, 38], [38, 33], [2, 30], [18, 18], [14, 15], [11, 27], [15, 14], [39, 20], [35, 26], [10, 7], [38, 37], [11, 8], [31, 35], [20, 15], [0, 20], [25, 12], [22, 36], [27, 38], [0, 22], [21, 16], [27, 36], [25, 36]]
19	[[13, 14], [21, 14], [12, 14], [26, 13], [9, 8], [12, 9], [23, 37], [23, 36], [24, 11], [0, 21]]	[[33, 30], [35, 23], [25, 34], [23, 11], [12, 11], [35, 19], [23, 35], [6, 34], [1, 21], [24, 10], [13, 15], [26, 11], [16, 31], [27, 13], [8, 29], [24, 36], [4, 19], [21, 37], [32, 38], [37, 33], [2, 29], [18, 17], [14, 15], [12, 27], [14, 14], [39, 21], [35, 27], [9, 7], [37, 37], [10, 8], [31, 34], [20, 14], [0, 20], [25, 12], [22, 36], [26, 38], [0, 22], [21, 16], [27, 36], [25, 36]]
