timesteps	evaders	pursuers
1	[[7, 1], [26, 6], [6, 21], [28, 23], [15, 1], [18, 17], [23, 0], [16, 15], [9, 19], [6, 30], [2, 8], [22, 24], [13, 26], [5, 28], [26, 0], [8, 14], [12, 29], [9, 12], [19, 24], [17, 16], [18, 23], [8, 15], [9, 1], [8, 3], [10, 3], [4, 8], [5, 29], [29, 19], [29, 24], [6, 17]]	[[]]
2	[[7, 1], [27, 7], [5, 22], [27, 24], [16, 1], [19, 18], [22, 1], [16, 14], [9, 20], [6, 30], [1, 7], [23, 25], [14, 26], [4, 27], [27, 1], [9, 14], [12, 30], [10, 11], [18, 25], [16, 17], [18, 23], [7, 14], [9, 1], [8, 4], [11, 4], [5, 8], [4, 30], [30, 19], [30, 24], [5, 17]]	[[]]
3	[[7, 1], [28, 8], [5, 22], [26, 23], [16, 1], [20, 18], [22, 0], [15, 13], [10, 21], [6, 30], [0, 6], [23, 25], [14, 26], [3, 26], [28, 2], [10, 14], [12, 30], [11, 10], [17, 26], [15, 18], [19, 23], [6, 13], [10, 1], [7, 5], [12, 5], [5, 8], [4, 30], [30, 19], [30, 24], [4, 17]]	[[]]
4	[[7, 1], [29, 9], [5, 22], [26, 23], [16, 1], [20, 17], [22, 0], [15, 13], [10, 21], [6, 30], [0, 6], [23, 25], [14, 25], [2, 25], [29, 2], [10, 15], [12, 30], [11, 10], [18, 27], [15, 18], [20, 22], [6, 13], [11, 1], [7, 5], [13, 6], [6, 9], [4, 30], [30, 19], [30, 24], [3, 17]]	[[]]
5	[[7, 1], [30, 10], [5, 22], [26, 23], [16, 1], [21, 16], [22, 0], [15, 13], [10, 21], [6, 30], [0, 6], [23, 25], [14, 25], [1, 24], [29, 2], [10, 16], [12, 30], [11, 10], [19, 28], [15, 18], [20, 21], [6, 13], [12, 0], [7, 5], [13, 6], [6, 9], [4, 30], [30, 18], [30, 24], [2, 17]]	[[]]
6	[[6, 0], [30, 10], [5, 22], [26, 23], [17, 0], [22, 15], [22, 0], [16, 12], [10, 21], [6, 30], [0, 6], [23, 25], [14, 25], [0, 23], [30, 1], [10, 16], [12, 30], [11, 10], [19, 28], [15, 18], [20, 21], [6, 13], [12, 0], [7, 5], [13, 6], [6, 9], [4, 30], [30, 17], [30, 24], [1, 17]]	[[]]
7	[[6, 0], [30, 10], [5, 22], [26, 23], [17, 0], [23, 14], [22, 0], [17, 12], [10, 21], [6, 30], [0, 6], [23, 25], [14, 25], [0, 23], [30, 1], [10, 16], [12, 30], [11, 10], [19, 28], [15, 18], [20, 21], [6, 13], [11, 1], [7, 5], [14, 5], [6, 9], [4, 30], [30, 17], [30, 25], [1, 17]]	[[]]
8	[[6, 0], [29, 9], [5, 22], [26, 23], [17, 0], [24, 14], [22, 0], [18, 11], [10, 21], [6, 30], [0, 6], [23, 25], [14, 25], [0, 23], [30, 1], [10, 16], [12, 30], [11, 10], [19, 28], [15, 18], [20, 21], [5, 13], [11, 1], [7, 5], [14, 5], [6, 9], [4, 30], [30, 17], [30, 25], [0, 17]]	[[]]
9	[[6, 0], [28, 8], [5, 22], [26, 22], [17, 0], [24, 14], [22, 0], [18, 11], [10, 21], [6, 30], [0, 5], [24, 26], [14, 25], [0, 23], [30, 1], [10, 16], [12, 30], [12, 10], [19, 28], [15, 18], [20, 21], [4, 14], [11, 1], [7, 5], [14, 5], [6, 9], [3, 30], [30, 17], [30, 26], [0, 17]]	[[]]
10	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [19, 10], [10, 21], [6, 30], [0, 4], [24, 26], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 29], [15, 18], [20, 21], [4, 14], [11, 1], [7, 5], [14, 5], [6, 9], [3, 29], [30, 16], [30, 27], [0, 17]]	[[]]
11	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [19, 10], [10, 21], [6, 30], [0, 4], [24, 26], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [16, 17], [20, 21], [4, 14], [11, 1], [7, 5], [15, 5], [6, 10], [3, 28], [30, 16], [30, 28], [0, 17]]	[[]]
12	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [20, 9], [10, 21], [6, 30], [0, 4], [24, 26], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [17, 16], [20, 21], [5, 15], [11, 1], [7, 5], [15, 5], [6, 10], [2, 27], [30, 16], [30, 29], [0, 17]]	[[]]
13	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [20, 9], [10, 21], [6, 30], [0, 4], [24, 26], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [18, 15], [20, 21], [5, 15], [11, 1], [7, 5], [15, 5], [6, 10], [2, 27], [30, 16], [30, 30], [0, 17]]	[[]]
14	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [20, 9], [10, 21], [6, 30], [0, 4], [25, 27], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [18, 15], [20, 21], [5, 15], [11, 1], [7, 5], [15, 5], [6, 10], [1, 28], [30, 16], [30, 30], [0, 17]]	[[]]
15	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [20, 9], [10, 21], [6, 30], [0, 4], [25, 27], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [18, 15], [20, 21], [5, 15], [11, 1], [7, 5], [15, 5], [6, 10], [0, 29], [30, 16], [30, 30], [0, 17]]	[[]]
16	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [20, 9], [10, 21], [6, 30], [0, 4], [25, 27], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [18, 15], [20, 21], [5, 15], [11, 1], [7, 5], [15, 5], [6, 10], [0, 29], [30, 16], [30, 30], [0, 17]]	[[]]
17	[[6, 0], [28, 8], [5, 22], [26, 21], [17, 0], [24, 14], [22, 0], [20, 9], [10, 21], [6, 30], [0, 4], [25, 27], [15, 24], [0, 23], [30, 1], [10, 16], [12, 30], [13, 11], [19, 30], [18, 15], [20, 21], [5, 15], [11, 1], [7, 5], [15, 5], [6, 10], [0, 29], [30, 16], [30, 30], [0, 17]]	[[]]
