timesteps	evaders	pursuers
1	[[15, 15]]	[[13, 5], [22, 4], [1, 6], [10, 11]]
2	[[16, 16]]	[[14, 6], [21, 5], [2, 7], [11, 12]]
3	[[17, 17]]	[[15, 7], [20, 6], [3, 6], [12, 13]]
4	[[18, 18]]	[[16, 8], [19, 7], [4, 7], [13, 14]]
5	[[19, 19]]	[[17, 9], [19, 8], [5, 8], [13, 14]]
6	[[20, 20]]	[[17, 10], [20, 9], [6, 9], [14, 15]]
7	[[21, 21]]	[[18, 11], [21, 10], [7, 10], [15, 16]]
8	[[22, 22]]	[[19, 12], [21, 11], [8, 11], [16, 17]]
9	[[23, 23]]	[[20, 13], [22, 12], [9, 12], [17, 18]]
10	[[23, 23]]	[[21, 14], [23, 13], [10, 13], [18, 19]]
11	[[24, 24]]	[[22, 15], [24, 14], [11, 14], [19, 20]]
12	[[25, 25]]	[[22, 15], [25, 15], [12, 15], [20, 21]]
13	[[26, 26]]	[[23, 16], [26, 16], [13, 16], [21, 22]]
14	[[27, 27]]	[[24, 17], [27, 17], [14, 17], [22, 23]]
15	[[28, 28]]	[[25, 18], [28, 18], [15, 18], [23, 24]]
16	[[29, 29]]	[[26, 19], [29, 19], [16, 19], [24, 25]]
17	[[30, 30]]	[[27, 20], [30, 20], [17, 20], [25, 26]]
18	[[29, 30]]	[[28, 21], [30, 21], [18, 21], [26, 27]]
19	[[28, 30]]	[[29, 22], [30, 22], [19, 22], [27, 28]]
20	[[28, 30]]	[[29, 22], [30, 22], [20, 23], [28, 29]]
21	[[27, 30]]	[[28, 23], [29, 23], [21, 24], [28, 29]]
22	[[26, 30]]	[[28, 24], [30, 24], [22, 25], [27, 29]]
23	[[25, 30]]	[[27, 25], [29, 25], [23, 26], [26, 29]]
24	[[25, 29]]	[[26, 26], [28, 26], [24, 27], [26, 29]]
25	[[25, 28]]	[[25, 27], [27, 27], [24, 28], [26, 29]]
26	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
27	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
28	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
29	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
30	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
31	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
32	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
33	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
34	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
35	[[25, 28]]	[[25, 27], [26, 28], [24, 28], [25, 29]]
