timesteps	evaders	pursuers
31	[[4, 17], [30, 7], [1, 25], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
32	[[4, 17], [30, 7], [1, 25], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
33	[[4, 17], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
34	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
35	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
36	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
37	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
38	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
39	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
40	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
41	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
42	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
43	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
