timesteps	evaders	pursuers
84	[[26, 15]]	[[27, 14], [28, 15], [24, 16], [18, 15]]
85	[[26, 16]]	[[26, 14], [27, 16], [25, 15], [18, 15]]
86	[[25, 16]]	[[26, 14], [27, 17], [24, 16], [19, 16]]
87	[[25, 17]]	[[25, 15], [26, 17], [24, 16], [19, 16]]
88	[[24, 17]]	[[25, 15], [26, 18], [24, 16], [20, 17]]
89	[[23, 17]]	[[25, 16], [25, 18], [24, 16], [21, 18]]
90	[[22, 17]]	[[25, 16], [24, 18], [23, 16], [21, 18]]
91	[[22, 18]]	[[24, 15], [23, 18], [22, 16], [21, 17]]
92	[[21, 18]]	[[23, 16], [23, 18], [22, 16], [20, 18]]
93	[[21, 19]]	[[23, 16], [22, 19], [21, 17], [20, 18]]
94	[[21, 18]]	[[22, 17], [22, 19], [21, 17], [20, 19]]
95	[[20, 18]]	[[22, 18], [21, 19], [21, 17], [19, 18]]
96	[[21, 18]]	[[22, 18], [20, 19], [20, 17], [19, 18]]
97	[[20, 18]]	[[22, 18], [20, 19], [21, 16], [19, 18]]
98	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
99	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
100	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
101	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
102	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
103	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
104	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
105	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
106	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
107	[[20, 18]]	[[21, 18], [20, 19], [20, 17], [19, 18]]
