timesteps	evaders	pursuers
52	[[30, 30]]	[[28, 28], [30, 28], [26, 30], [28, 26], [30, 26], [26, 27], [26, 25], [29, 24]]
53	[[29, 30]]	[[28, 29], [30, 28], [26, 30], [28, 26], [30, 26], [26, 28], [26, 26], [30, 24]]
54	[[29, 29]]	[[28, 28], [30, 28], [26, 30], [28, 26], [30, 26], [26, 28], [26, 26], [30, 24]]
55	[[29, 28]]	[[28, 28], [30, 28], [26, 30], [28, 26], [30, 26], [26, 28], [26, 26], [30, 24]]
56	[[29, 27]]	[[28, 28], [30, 29], [26, 30], [28, 26], [30, 26], [26, 28], [26, 26], [30, 24]]
57	[[29, 26]]	[[28, 29], [30, 29], [26, 30], [28, 25], [30, 26], [26, 28], [26, 26], [30, 24]]
58	[[29, 25]]	[[28, 28], [30, 28], [26, 30], [28, 24], [30, 26], [26, 28], [26, 25], [30, 24]]
59	[[29, 24]]	[[28, 28], [30, 28], [26, 30], [28, 23], [30, 26], [26, 27], [26, 24], [30, 23]]
60	[[29, 24]]	[[28, 27], [30, 28], [27, 29], [28, 22], [30, 26], [26, 26], [26, 23], [30, 22]]
61	[[29, 23]]	[[28, 26], [30, 28], [28, 28], [28, 22], [30, 26], [26, 25], [26, 23], [30, 22]]
62	[[29, 22]]	[[28, 25], [30, 28], [28, 27], [28, 21], [30, 25], [26, 25], [26, 22], [30, 21]]
63	[[29, 21]]	[[28, 24], [30, 27], [28, 26], [28, 20], [30, 24], [26, 24], [26, 21], [30, 20]]
64	[[29, 20]]	[[28, 23], [30, 26], [28, 26], [28, 19], [30, 23], [26, 23], [26, 20], [30, 19]]
65	[[29, 19]]	[[28, 22], [30, 25], [28, 25], [28, 18], [30, 22], [26, 22], [26, 19], [30, 18]]
66	[[29, 18]]	[[28, 21], [30, 24], [27, 24], [28, 17], [30, 21], [26, 21], [26, 18], [30, 17]]
67	[[29, 17]]	[[28, 20], [30, 23], [28, 23], [28, 16], [30, 20], [26, 20], [26, 17], [30, 16]]
68	[[29, 16]]	[[28, 19], [30, 22], [28, 22], [28, 15], [30, 19], [26, 20], [26, 16], [30, 15]]
69	[[29, 15]]	[[28, 18], [30, 21], [28, 21], [28, 14], [30, 18], [26, 19], [26, 15], [30, 14]]
70	[[29, 15]]	[[28, 17], [30, 20], [28, 20], [28, 13], [30, 17], [26, 18], [26, 14], [30, 13]]
71	[[29, 14]]	[[27, 16], [30, 19], [28, 19], [28, 13], [30, 17], [26, 18], [26, 14], [30, 13]]
72	[[29, 13]]	[[27, 16], [30, 19], [28, 18], [28, 12], [30, 16], [25, 17], [26, 13], [30, 12]]
73	[[29, 12]]	[[28, 15], [30, 18], [28, 17], [28, 11], [30, 15], [26, 16], [26, 12], [30, 11]]
74	[[29, 11]]	[[28, 14], [30, 17], [28, 16], [28, 10], [30, 14], [26, 15], [26, 11], [30, 10]]
75	[[29, 10]]	[[28, 13], [30, 16], [28, 15], [28, 9], [30, 13], [26, 14], [26, 10], [30, 9]]
76	[[29, 9]]	[[28, 12], [30, 15], [28, 14], [27, 8], [30, 12], [26, 13], [26, 10], [30, 8]]
77	[[29, 8]]	[[28, 11], [30, 14], [28, 13], [28, 7], [30, 11], [26, 12], [26, 9], [30, 7]]
78	[[29, 7]]	[[28, 10], [30, 13], [28, 12], [27, 6], [30, 10], [26, 11], [27, 8], [30, 6]]
79	[[29, 6]]	[[28, 10], [30, 12], [28, 12], [27, 6], [30, 9], [26, 10], [27, 8], [30, 5]]
80	[[29, 6]]	[[28, 10], [30, 11], [29, 13], [27, 5], [30, 8], [25, 9], [27, 7], [30, 4]]
81	[[29, 5]]	[[27, 9], [30, 10], [30, 12], [27, 5], [30, 8], [25, 8], [27, 7], [30, 4]]
82	[[29, 4]]	[[27, 9], [30, 10], [30, 12], [27, 5], [30, 7], [25, 7], [27, 7], [29, 3]]
83	[[29, 3]]	[[28, 9], [30, 9], [30, 11], [26, 4], [30, 6], [25, 7], [28, 6], [29, 2]]
84	[[29, 2]]	[[27, 8], [30, 8], [30, 10], [27, 3], [30, 5], [26, 6], [28, 5], [29, 1]]
85	[[30, 2]]	[[28, 7], [30, 7], [30, 9], [27, 2], [30, 4], [26, 5], [28, 4], [29, 1]]
86	[[29, 2]]	[[28, 6], [30, 6], [30, 8], [27, 1], [30, 4], [26, 5], [28, 3], [29, 1]]
87	[[28, 2]]	[[28, 5], [30, 6], [30, 8], [27, 1], [30, 4], [26, 4], [28, 3], [29, 1]]
88	[[27, 2]]	[[27, 6], [29, 6], [30, 8], [26, 1], [30, 3], [26, 3], [28, 4], [30, 1]]
89	[[26, 2]]	[[26, 5], [29, 6], [29, 8], [25, 1], [30, 3], [25, 3], [28, 4], [29, 1]]
90	[[26, 2]]	[[25, 6], [28, 6], [30, 7], [24, 1], [30, 3], [25, 4], [27, 4], [28, 1]]
91	[[25, 2]]	[[25, 6], [29, 5], [29, 7], [24, 1], [30, 2], [24, 3], [26, 4], [28, 1]]
92	[[24, 2]]	[[24, 5], [28, 4], [28, 6], [23, 1], [30, 1], [23, 3], [26, 4], [27, 1]]
93	[[23, 2]]	[[23, 5], [28, 3], [28, 5], [22, 1], [29, 1], [22, 3], [25, 4], [26, 1]]
94	[[22, 2]]	[[22, 5], [28, 3], [28, 5], [21, 1], [28, 1], [21, 3], [25, 3], [25, 1]]
95	[[21, 2]]	[[21, 5], [27, 3], [27, 5], [20, 1], [27, 1], [20, 3], [24, 4], [24, 1]]
96	[[20, 2]]	[[20, 5], [26, 3], [26, 6], [19, 1], [26, 1], [19, 3], [23, 3], [23, 1]]
97	[[19, 2]]	[[19, 5], [25, 3], [25, 5], [18, 1], [25, 1], [18, 3], [22, 4], [22, 1]]
98	[[18, 2]]	[[18, 5], [24, 3], [24, 6], [17, 1], [24, 1], [17, 3], [21, 4], [21, 1]]
99	[[17, 2]]	[[17, 5], [23, 3], [23, 5], [16, 1], [24, 1], [16, 3], [20, 3], [20, 1]]
100	[[17, 2]]	[[16, 5], [22, 2], [22, 5], [15, 1], [24, 1], [15, 3], [19, 4], [19, 1]]
101	[[16, 2]]	[[16, 5], [21, 3], [21, 5], [15, 1], [23, 1], [15, 3], [18, 4], [19, 1]]
102	[[15, 2]]	[[15, 5], [21, 2], [20, 4], [14, 1], [23, 1], [14, 3], [17, 4], [18, 1]]
103	[[14, 2]]	[[14, 6], [20, 1], [19, 3], [13, 1], [22, 2], [14, 4], [16, 4], [17, 1]]
104	[[13, 2]]	[[14, 6], [19, 1], [18, 3], [12, 1], [22, 1], [14, 4], [16, 3], [16, 1]]
105	[[12, 2]]	[[14, 6], [18, 1], [18, 3], [11, 2], [21, 1], [13, 4], [15, 3], [15, 1]]
106	[[11, 2]]	[[13, 6], [17, 1], [17, 4], [10, 1], [20, 1], [12, 4], [14, 4], [14, 1]]
107	[[10, 2]]	[[12, 6], [16, 1], [16, 3], [9, 2], [19, 1], [11, 4], [13, 3], [13, 1]]
108	[[9, 2]]	[[11, 6], [15, 1], [15, 4], [8, 1], [18, 1], [10, 4], [12, 3], [12, 1]]
109	[[8, 2]]	[[10, 6], [14, 1], [14, 5], [7, 1], [18, 1], [9, 4], [11, 3], [11, 1]]
110	[[8, 2]]	[[9, 6], [13, 1], [13, 4], [6, 2], [17, 1], [8, 4], [10, 3], [10, 1]]
